day,Susceptible,Exposed,Infectious,Recovered
0.0,199976663.0,15558.0,7779.0,0.0
1.0,199973548.236866,15571.918480346309,9989.801543240548,890.0431104223336
2.0,199969687.4811867,16259.89474816292,12059.351333497465,1993.2727316750236
3.0,199965109.77315673,17471.07484707924,14117.74942593163,3301.402570247747
4.0,199959799.96247178,19127.261689650393,16253.999664930556,4818.776173652653
5.0,199953715.2793115,21189.304481790517,18537.78317761402,6557.633029087865
6.0,199946799.5051477,23628.344751171306,21038.08986079626,8534.060240321947
7.0,199938964.97280964,26459.05559229592,23802.834130788426,10773.137467262626
8.0,199930106.73992085,29709.37357456256,26878.99695372005,13304.889550864536
9.0,199920109.0953755,33405.51852960112,30322.95664430897,16162.429450580139
10.0,199908838.0619041,37583.740898150965,34194.09232454348,19384.10487321965
11.0,199896132.78342038,42306.91405026274,38544.34677546746,23015.955753888742
12.0,199881812.2657925,47643.550224567094,43434.38224396194,27109.801739002287
13.0,199865673.56013656,53666.37846305745,48936.290865211326,31723.770535192263
14.0,199847491.7628169,60452.344611090026,55133.59466270339,36922.29790930779
15.0,199827011.0846215,68090.29826600537,62119.8920315757,42778.72508094757
16.0,199803940.9317541,76693.26211963422,69989.45682471368,49376.349301561946
17.0,199777960.60111475,86384.23926209063,78848.08447791594,56807.07514527563
18.0,199748699.16454038,97302.98340791781,88820.52236440482,65177.329687334044
19.0,199715735.1434865,109606.19003464363,100050.50872854574,74608.15775033801
20.0,199678596.50902715,123467.49638278056,112700.77268584722,85235.22190424366
21.0,199636760.68185487,139077.48145582573,126953.03422296082,97208.80246636255
22.0,199589653.4629762,156644.31017003645,143008.09716143704,110694.12969237477
23.0,199536576.32188177,176439.68756993173,161090.2641049472,125893.72644338476
24.0,199476817.73901597,198729.4475862413,181440.89278509514,143011.9206127397
25.0,199409588.94914424,223796.34474629344,204339.82160446933,162274.88450503556
26.0,199333953.4361783,251980.00660407974,230113.93105030782,183952.62616734614
27.0,199248826.93317607,283676.9337402548,259137.1436944983,208358.98938922322
28.0,199152977.42234161,319340.4997621366,291830.4241935781,235851.65370269644
29.0,199045025.13502532,359480.95130370645,328661.7792887342,266832.1343822732
30.0,198923442.5517237,404665.4080256085,370146.2578058032,301745.7824449389
31.0,198786554.40207946,455517.8626151506,416845.9506552715,341081.784650157
32.0,198632537.6648816,512719.18078630336,469369.99083227466,385373.1634998684
33.0,198459313.5759459,577109.5333844508,528343.9913732257,435232.8992964428
34.0,198264312.77826053,649798.9050808307,594462.2283414018,491426.08831728133
35.0,198045142.38457197,731426.3173241747,668786.7646038877,554644.5335000138
36.0,197799005.37929544,822802.254228944,752483.1254094187,625709.2410662436
37.0,197522629.02161512,924983.2194404791,846792.9015065973,705594.8574378551
38.0,197212264.84548414,1039271.7361349994,953033.7491438936,795429.669237013
39.0,196863688.65962464,1167216.3470196044,1072599.3900696456,896495.603286163
40.0,196472200.54752767,1310611.614332272,1206959.6115320586,1010228.226608031
41.0,196032624.86745334,1471498.1198418601,1357660.2662792054,1138216.7464256235
42.0,195539310.25243068,1652162.464848105,1526323.2725590263,1282204.0101622283
