day,Infectious_suppressed
0.0,7779.0
1.0,8384.798710744562
2.0,9037.762904430474
3.0,9741.632886443367
4.0,10500.324309856715
5.0,11317.998594281857
6.0,12199.230418845498
7.0,13149.007766828081
8.0,14172.731925663782
9.0,15276.21748694052
10.0,16465.69234639995
11.0,17747.79770393745
12.0,19129.617191710116
13.0,20619.517674646875
14.0,22225.494753958494
15.0,23955.907625679298
16.0,25820.140155934158
17.0,27828.600880938506
18.0,29992.723006998305
19.0,32324.96441051008
20.0,34838.80763796091
21.0,37548.75990592839
22.0,40470.35310108071
23.0,43620.14378017657
24.0,47015.71317006524
25.0,50675.66716768652
26.0,54619.6363400708
27.0,58868.373555754326
28.0,63448.8106694252
29.0,68385.83090551231
30.0,73703.86140697869
31.0,79430.68326488887
32.0,85597.43151840888
33.0,92238.59515480627
34.0,99392.01710945004
35.0,107098.89426581078
36.0,115403.77745546054
37.0,124354.57145807281
38.0,134002.5350014227
39.0,144402.28076138673
40.0,155611.77536194297
41.0,167692.33937517094
42.0,180708.64732125177
43.0,194728.72766846797
44.0,209823.96283320367
45.0,226071.23722300766
46.0,243570.71735855876
47.0,262411.7568390036
48.0,282688.3454225573
49.0,304505.56855935376
50.0,327979.6073914451
51.0,353237.738752802
52.0,380418.3351693138
53.0,409670.8648587882
54.0,441155.89173095126
55.0,475045.07538744796
56.0,511521.17112184135
57.0,550778.0299196132
58.0,593020.5984581638
59.0,638464.9191068118
60.0,687338.1299267944
61.0,739878.4646712674
62.0,796335.2527853049
63.0,856968.9194059
64.0,922048.4168446694
65.0,991807.0518796765
66.0,1066591.1001805721
67.0,1146802.858027011
68.0,1232857.9608196146
69.0,1325185.3830799737
70.0,1424227.4384506464
71.0,1530439.7796951588
72.0,1644291.3986980047
73.0,1766264.6264646465
74.0,1896855.133121514
75.0,2036571.9279160053
76.0,2185937.359216486
77.0,2345487.11451229
78.0,2515770.2204137193
79.0,2697349.0426520435
80.0,2890799.2860795003
81.0,3096709.994669296
82.0,3315683.5515156025
83.0,3548335.678833563
84.0,3795269.6531811403
85.0,4055988.51935542
86.0,4331048.301424579
87.0,4621674.207747585
88.0,4928910.883791106
89.0,5253622.412129508
90.0,5596492.312444858
91.0,5958023.541526921
92.0,6338538.49327316
93.0,6738178.998688741
94.0,7156906.325886523
95.0,7594501.180087072
96.0,8050563.703618646
97.0,8524513.475917205
98.0,9015589.513526414
99.0,9522850.270097623
100.0,10045173.636389894
101.0,10581256.940269986
102.0,11129616.946712352
103.0,11688589.85779915
104.0,12256331.312720234
105.0,12830816.387773154
106.0,13410306.944513187
107.0,13996121.116645485
108.0,14584755.542864017
109.0,15171671.61993309
110.0,15752577.547826903
111.0,16323428.329729544
112.0,16880425.772034988
113.0,17420018.484347098
114.0,17938901.879479628
115.0,18434018.17345622
116.0,18902556.385510407
117.0,19341952.338085607
118.0,19749888.65683512
119.0,20124294.770622153
120.0,20463346.911519784
121.0,20765468.114810992
122.0,21029328.218988635
123.0,21253843.86575547
124.0,21438178.50002413
125.0,21581742.369917147
126.0,21684192.526766934
127.0,21745432.825115807
128.0,21765613.922715954
129.0,21745133.28052945
130.0,21684635.162728287
131.0,21585010.636694305
132.0,21447397.573019266
133.0,21273180.645504802
134.0,21063991.331162445
135.0,20822088.5805
136.0,20552294.721362017
137.0,20256828.185752477
138.0,19937277.66867461
139.0,19595249.622964937
140.0,19232368.25929326
141.0,18850275.546162672
142.0,18450631.209909577
143.0,18035112.734703645
144.0,17605415.36254786
145.0,17163252.09327847
146.0,16710353.684565047
147.0,16248468.651910428
148.0,15779363.268650748
149.0,15304821.565955441
150.0,14826645.332827223
151.0,14346654.116102107
152.0,13866685.220449392
153.0,13388593.708371673
154.0,12914252.400204835
155.0,12445551.874118052
156.0,11984400.466113789
157.0,11532724.270027805
158.0,11092467.137529152
159.0,10665590.678120162
160.0,10254074.259136474
161.0,9859915.005747005
162.0,9484385.243871374
163.0,9120825.4026028
164.0,8767177.542556502
165.0,8423439.601596173
166.0,8089597.032720223
167.0,7765622.804061798
168.0,7451477.398888769
169.0,7147108.815603735
170.0,6852452.56774402
171.0,6567431.683981684
172.0,6291956.708123507
173.0,6025925.699111001
174.0,5769224.231020402
175.0,5521725.393062681
176.0,5283289.789583529
177.0,5053765.540063371
178.0,4832988.279117357
179.0,4620781.156495365
180.0,4416954.837082002
181.0,4221307.500896605
182.0,4033624.8430932323
183.0,3853680.073960675
184.0,3681233.9189224513
185.0,3516034.6185368104
186.0,3357817.928496722
187.0,3206307.1196298935
188.0,3061212.9778987495
189.0,2922230.7979232
190.0,2789102.0407735314
191.0,2661631.881241427
192.0,2539629.552840532
193.0,2422906.7484114775
194.0,2311277.620121881
195.0,2204558.779466345
196.0,2102569.297266457
197.0,2005130.7036707914
198.0,1912066.9881549068
199.0,1823204.599521348
200.0,1738372.4458996456
201.0,1657401.8947463145
202.0,1580126.772844857
203.0,1506383.3663057592
204.0,1436010.4205664936
205.0,1368849.1403915186
206.0,1304743.1898722763
207.0,1243538.6924271977
208.0,1185084.2308016955
209.0,1129248.4471346615
210.0,1075939.203692262
211.0,1025062.3843420323
212.0,976525.3496641525
213.0,930236.994821622
214.0,886107.7495602586
215.0,844049.5782086982
216.0,803975.9796783957
217.0,765801.9874636243
218.0,729444.1696414761
219.0,694820.6288718615
220.0,661851.0023975093
221.0,630456.4620439667
222.0,600559.7142196003
223.0,572084.9999155942
224.0,544958.0947059517
225.0,519106.3087474945
226.0,494458.48677986255
227.0,470945.0081255147
228.0,448497.9770190921
229.0,427074.01719527465
230.0,406642.6268442059
231.0,387165.96836338914
232.0,368606.797340533
233.0,350928.4625535513
234.0,334094.90597056336
235.0,318070.6627498935
236.0,302820.8612400716
237.0,288311.2229798328
238.0,274508.06269811734
239.0,261378.288314071
240.0,248889.40093704476
241.0,237009.49486659482
242.0,225707.25759248296
243.0,214951.9697946758
244.0,204713.50534334566
245.0,194962.33129887006
246.0,185669.50791183172
247.0,176806.68862301868
248.0,168346.12006342434
249.0,160268.1592988668
250.0,152567.19264251762
251.0,145228.91193784695
252.0,138238.94616438492
253.0,131583.16754439857
254.0,125247.69154289221
255.0,119218.87686760703
256.0,113483.32546902148
257.0,108027.88254035095
258.0,102839.636517548
259.0,97905.91907930224
260.0,93214.30514704036
261.0,88752.61288492616
262.0,84508.90369986046
263.0,80471.4822414812
264.0,76628.89640216339
265.0,72969.93731701917
266.0,69483.63936389764
267.0,66159.28016338515
268.0,62986.380578804965
269.0,59958.04035805619
270.0,57071.72472637265
271.0,54321.917437745804
272.0,51703.16191152752
273.0,49210.095615647224
274.0,46837.45006661193
275.0,44580.050829506166
276.0,42432.81751799208
277.0,40390.76379430933
278.0,38448.99736927516
279.0,36602.720002284375
280.0,34847.227501309346
281.0,33177.90972289999
282.0,31590.250572183784
283.0,30079.82800286579
284.0,28642.314017228615
285.0,27273.47466613243
286.0,25969.17004901498
287.0,24725.35431389154
288.0,23538.083353548594
289.0,22405.335102771438
290.0,21325.87492035435
291.0,20297.606896269215
292.0,19318.470969582922
293.0,18386.442928457374
