day,Susceptible,Infectious,Recovered
0.0,199992221.0,7779.0,0.0
1.0,199989127.93041363,9988.294202888452,883.7753834612087
2.0,199985156.55052626,12824.921182974878,2018.5282907603353
3.0,199980056.26507553,16467.85362370573,3475.8813007468157
4.0,199973511.58509701,21142.40904816759,5346.005854830435
5.0,199965106.69915086,27145.533061047234,7747.767788099902
6.0,199954311.53365278,34855.74330902653,10832.723038209837
7.0,199940448.30397782,44756.95647782089,14794.739544360003
8.0,199922677.96349803,57448.31851453099,19873.717987445518
9.0,199899870.51466095,73736.53312408163,26392.952214966914
10.0,199870552.23084465,94673.3999960167,34774.36915935316
11.0,199832905.23133302,121556.1137104499,45538.65495654439
12.0,199784587.457297,156054.54912143017,59357.993581599905
13.0,199722714.42526162,200227.42186352122,77058.15287486784
14.0,199643402.9772003,256843.76062098384,99753.2621787392
15.0,199541512.5923498,329564.6032385345,128922.80441169138
16.0,199410645.38721037,422942.9967213459,166411.6160682883
17.0,199242999.83862308,542521.6443962739,214478.51698067057
18.0,199028429.5965939,695497.743077436,276072.6603287151
19.0,198754266.69302464,890896.3348585418,354836.97211684287
20.0,198403451.25714102,1140791.917938154,455756.82492083963
21.0,197954288.16022307,1460467.505579085,585244.3341978879
22.0,197380447.01560506,1868414.6261084012,751138.3582865675
23.0,196650743.16308022,2386311.78511324,962945.0518065754
24.0,195724897.46229693,3042126.9055109452,1232975.6321921628
25.0,194550679.77604443,3872609.397362408,1576710.8265931918
26.0,193065338.97371122,4920547.319198879,2014113.7070899399
27.0,191195663.57591173,6234602.841890039,2569733.5821982687
28.0,188857981.7544864,7869312.248644001,3272705.9968696255
29.0,185964247.55913448,9879630.899391253,4156121.541474274
30.0,182415778.168554,12323948.772655632,5260273.058790382
31.0,178071734.45884147,15290559.814271063,6637705.726887488
32.0,172824131.8414783,18833261.16127818,8342606.997243569
33.0,166604558.8956017,22965522.58309084,10429918.521307498
34.0,159384177.36800492,27660486.481496096,12955336.150499022
35.0,151172871.37568167,32851838.076331284,15975290.54798707
36.0,141987940.54278544,38472178.14866752,19539881.308547083
37.0,132036360.5824117,44288415.73978592,23675223.677802406
38.0,121595571.99590251,50019236.86403512,28385191.140062407
39.0,110931779.95085886,55416039.76021627,33652180.2889249
