year,week,cases,cumulative,date,rolling_avg,epidemic_wave
2016,2,50.0,50.0,2016-01-11,,0
2016,11,2.0,52.0,2016-03-14,,0
2017,11,29.0,81.0,2017-03-13,22.0,0
2017,15,7.0,88.0,2017-04-10,11.0,0
2017,20,6.0,94.0,2017-05-15,77.5,0
2017,24,268.0,362.0,2017-06-12,127.25,0
2017,28,228.0,590.0,2017-07-10,455.75,0
2017,33,1321.0,1911.0,2017-08-14,712.75,1
2017,37,1034.0,2945.0,2017-09-11,713.25,0
2017,41,270.0,3215.0,2017-10-09,668.0,0
2017,46,47.0,3262.0,2017-11-13,455.0,0
2017,50,469.0,3731.0,2017-12-11,236.0,0
2018,3,158.0,3889.0,2018-01-15,348.0,0
2018,11,718.0,4607.0,2018-03-12,724.75,0
2018,15,1554.0,6161.0,2018-04-09,1402.0,1
2018,20,3178.0,9339.0,2018-05-14,2001.75,1
2018,24,2557.0,11896.0,2018-06-11,2474.5,1
2018,28,2609.0,14505.0,2018-07-09,2705.0,1
2018,33,2476.0,16981.0,2018-08-13,3855.25,1
2018,37,7779.0,24760.0,2018-09-10,4478.0,1
2018,42,5048.0,29808.0,2018-10-15,3957.5,1
2018,46,527.0,30335.0,2018-11-12,3363.75,0
2018,50,101.0,30436.0,2018-12-10,1427.5,0
2019,3,34.0,30470.0,2019-01-21,187.25,0
2019,11,87.0,30557.0,2019-03-18,123.5,0
2019,16,272.0,30829.0,2019-04-22,123.75,0
2019,20,102.0,30931.0,2019-05-20,179.25,0
2019,24,256.0,31187.0,2019-06-17,295.25,0
2019,29,551.0,31738.0,2019-07-22,296.5,0
2019,33,277.0,32015.0,2019-08-19,341.0,0
2019,37,280.0,32295.0,2019-09-16,559.75,0
2019,42,1131.0,33426.0,2019-10-21,700.75,1
2019,46,1115.0,34541.0,2019-11-18,655.0,0
2019,50,94.0,34635.0,2019-12-16,641.25,0
2020,3,225.0,34860.0,2020-01-20,383.5,0
2020,16,100.0,34960.0,2020-04-20,391.25,0
2020,20,1146.0,36106.0,2020-05-18,373.25,1
2020,25,22.0,36128.0,2020-06-22,424.75,0
2020,29,431.0,36559.0,2020-07-20,636.25,0
2020,33,946.0,37505.0,2020-08-17,553.5,0
2020,38,815.0,38320.0,2020-09-21,549.75,0
2021,2,7.0,38327.0,2021-01-11,474.5,0
2021,11,130.0,38457.0,2021-03-15,549.75,0
2021,15,1247.0,39704.0,2021-04-12,583.0,1
2021,19,948.0,40652.0,2021-05-10,1465.25,0
2021,24,3536.0,44188.0,2021-06-14,3558.25,1
2021,28,8502.0,52690.0,2021-07-12,4085.5,1
2021,32,3356.0,56046.0,2021-08-09,4055.75,1
2021,46,829.0,56875.0,2021-11-15,3302.25,0
2021,50,522.0,57397.0,2021-12-13,1555.75,0
2022,37,1516.0,58913.0,2022-09-12,764.25,1
2022,41,190.0,59103.0,2022-10-10,671.0,0
2022,46,456.0,59559.0,2022-11-14,659.5,0
2022,50,476.0,60035.0,2022-12-12,317.25,0
2023,2,147.0,60182.0,2023-01-09,300.0,0
2023,11,121.0,60303.0,2023-03-13,202.5,0
2023,20,66.0,60369.0,2023-05-15,629.25,0
2023,24,2183.0,62552.0,2023-06-12,638.5,1
2023,28,184.0,62736.0,2023-07-10,1217.0,0
2023,33,2435.0,65171.0,2023-08-14,1327.25,1
2023,37,507.0,65678.0,2023-09-11,805.5,0
2023,41,96.0,65774.0,2023-10-09,795.0,0
2023,46,142.0,65916.0,2023-11-13,213.75,0
2023,50,110.0,66026.0,2023-12-11,109.5,0
2024,3,90.0,66116.0,2024-01-15,131.5,0
2024,11,184.0,66300.0,2024-03-11,108.75,0
2024,20,51.0,66351.0,2024-05-13,,0
