from,to,correlation,lag_weeks,speed_days
Cross River,FCT-Abuja,0.7780320719023233,-3,21
FCT-Abuja,Cross River,0.7780320719023233,-3,21
Rivers,Ogun,0.8417459770877982,0,0
Rivers,Owo,0.8954481067065012,0,0
Rivers,Borno Kaduna,0.895431338965708,-1,7
Ogun,Rivers,0.8417459770877982,0,0
Ogun,Owo,0.8287994935361327,0,0
Ogun,Borno Kaduna,0.8287593368760963,-1,7
 Borno Kaduna,Borno Kaduna Oyo,0.5938808591060536,-1,7
Borno Kaduna Oyo, Borno Kaduna,0.5938808591060536,-1,7
Delta Kaduna Borno,Kano Kogi,0.6809144970324388,0,0
Delta Kaduna Borno,Nasarawa Kaduna,0.8914446917337578,0,0
Delta Kaduna Borno,Kano Kabbi,0.6809144970324374,0,0
Borno,Bayelsa Bauchi,0.9028155326772087,-4,28
Borno,Adamawa,0.8966532405041614,-4,28
Kano Kaduna,Adamawa Kano Osun,0.7359771164273179,0,0
Kano Kaduna,Crossriver Boron,0.6933274693765343,0,0
Kano Zamfara,Kano Kogi,0.6532807445945401,0,0
Kano Zamfara,Nasarawa Kaduna,0.5737094689217773,0,0
Kano Zamfara,Kano Kabbi,0.6532807445945411,0,0
Kaduna Kano,Nil,0.9913903979818321,0,0
Bayelsa Bauchi,Borno,0.9028155326772088,-4,28
Bayelsa Bauchi,Yobe Zamfara,0.531009462933157,0,0
Bayelsa Bauchi,Adamawa,0.9870638176030678,0,0
Yobe Zamfara,Bayelsa Bauchi,0.5310094629331569,0,0
Yobe Zamfara,Adamawa,0.527624391875454,0,0
Yobe Zamfara,Plateau Zamfara,0.5343242550217778,0,0
Yobe Zamfara,Bauchi Borno Kano,0.5348677889314688,0,0
Yobe Zamfara,Plateau Jos,0.5348677889314685,0,0
Adamawa,Borno,0.8966532405041613,-4,28
Adamawa,Bayelsa Bauchi,0.9870638176030678,0,0
Adamawa,Yobe Zamfara,0.5276243918754538,0,0
Plateau Zamfara,Yobe Zamfara,0.5343242550217778,0,0
Kawara Plateau,Kogi Kano Adawama,0.9142079796171853,0,0
Kogi Kano Adawama,Kawara Plateau,0.9142079796171853,0,0
Kogi Kano Adawama,Abuja Koji Gombe,0.9142079796171844,0,0
Abuja Koji Gombe,Kogi Kano Adawama,0.9142079796171844,0,0
Lagos Gombe Kogi,Kastina Kano Bauchi,0.7466692196624858,0,0
Lagos Gombe Kogi,Cross River Borno ,0.7496836260081333,0,0
Lagos Gombe Kogi,Ebonyi Lagos Edo,0.7496836260081343,0,0
Lagos Gombe Kogi,Ebonyi Osun,0.6173023203924438,0,0
Kastina Kano Bauchi,Lagos Gombe Kogi,0.7466692196624859,0,0
Kastina Kano Bauchi,Cross River Borno ,0.9973774368073366,0,0
Kastina Kano Bauchi,Ebonyi Lagos Edo,0.9973774368073338,0,0
Cross River Borno ,Lagos Gombe Kogi,0.7496836260081334,0,0
Cross River Borno ,Kastina Kano Bauchi,0.9973774368073365,0,0
Adamawa Bauchi Borno,Nil,0.9827722252145467,0,0
