cause,effect,f_statistic,p_value,lag_weeks,causal
Lagos,Delta Kaduna Borno,4.470896696087837,0.0011358520411307363,6,True
Lagos,Lga,755.9446191557313,2.8306051504726993e-43,2,True
Lagos,Lagos Ibadan,2837.5660245409995,4.132255287515023e-54,1,True
Lagos,Oyo Osun,2784.6414697552405,7.382331150715364e-54,1,True
Lagos,Kano Kebbi,2920.601296405423,1.6979669264619055e-54,1,True
Lagos,7 Lga,2920.6012964054207,1.6979669264619727e-54,1,True
Lagos,Lagos Oyo Uyo,2920.601296405421,1.697966926461939e-54,1,True
Lagos,Kwara Plateau,486.6980809382717,9.306649390485895e-42,5,True
Kano,Kaduna,2.896406549254803,0.022365740332489725,5,True
Kano,Delta,4.920961824657326,0.0009459667501906722,5,True
Kano, Borno Kaduna,4.920961824657327,0.0009459667501906722,5,True
Kano,Bayelsa Borno Kaduna,8.883924405835316,4.0679320195670986e-06,5,True
Kano,Borno,30.158957844946016,8.27563051234397e-12,3,True
Kano,Borno Cross River Lagos,9.119848895473659,3.0315315577667043e-06,5,True
Kano,Bayelsa Borno Gombe,7.164989215889161,1.7110502385716782e-05,6,True
Kano,Borno Bauchi Kaduna,7.164989215889166,1.7110502385716633e-05,6,True
Kano,Anambra Bauchi Kaduna,70.64928546236672,1.6955740446234508e-16,2,True
Kano,Kano Kaduna,4.438082882736172,0.039199371874327246,1,True
Kano,Ebonyi Lagos,148.23881576277498,3.3381916435975165e-18,1,True
Kano,Abia Kano,27.021039903643107,8.075567222748839e-14,6,True
Kano,Ekiti Kaduna,37.479756692505866,1.7289336966326261e-16,6,True
Kano,Bayelsa Bauchi,42.32665146886506,1.6023238519734985e-14,3,True
Kano,Yobe Zamfara,4.217935631526172,0.00919841965278218,3,True
Kano,Adamawa,51.00975812161058,3.7752720829245407e-16,3,True
Kano,Plateau Zamfara,44.779766046905166,5.2823920958875686e-15,3,True
Kano,Kawara Plateau,28.263708783236872,3.564944453258373e-14,6,True
Kano,Kogi Kano Adawama,18.203049343820314,1.610046147244441e-09,4,True
Kano,Abuja Koji Gombe,28.263708783236915,3.564944453258289e-14,6,True
Kano,Lagos Gombe Kogi,6.90183129425827,5.4786133592319336e-05,5,True
Kano,Kastina Kano Bauchi,26.94402508031345,3.1957162818437944e-13,5,True
Kano,Cross River Borno ,27.806487649431844,1.8015669908871043e-13,5,True
Kano,Ebonyi Lagos Edo,27.80648764943178,1.8015669908871828e-13,5,True
Kosofe Lga,Delta Kaduna Borno,217.11712143453605,4.989874234806847e-33,6,True
Kosofe Lga,Kano Zamfara,7.530947149380511,2.3385304290870063e-05,5,True
Kosofe Lga,Yobe Zamfara,5.215854453062439,0.00033517639108789635,6,True
Kosofe Lga,Lagos Kano,9330.414073252325,1.4954979252584117e-75,2,True
Kosofe Lga,Osun Oyo Yobe,23417.999360619335,9.579134762658213e-87,4,True
Kosofe Lga,Nasarawa Kaduna,194083.69007546097,1.878633566228072e-103,6,True
Ekiti,Kosofe Lga,11.808850947216236,5.809366734110157e-07,4,True
Ekiti,Cross River,6.222544754870145,0.00034165338005409353,4,True
Ekiti,FCT-Abuja,15.68553195001027,1.4129414677327959e-08,4,True
Ekiti,Kwara,14.403307500156979,4.57691213993104e-08,4,True
Ekiti,Delta,10.869774411277513,3.758064305514331e-07,5,True
Ekiti, Borno Kaduna,10.869774411277515,3.758064305514316e-07,5,True
Ekiti,Bayelsa Borno Kaduna,8.514608673584474,2.5963775875940153e-06,6,True
Ekiti,Lagos Gombe Kogi,6.401033266638019,0.000109862994819382,5,True
