target_state,cases_prevented,prevention_percent
Yobe Zamfara,16006.550000000003,24.124052388057457
Kano Zamfara,11041.099999999999,16.64044249521484
Borno,10515.75,15.848668445087489
Bauchi Borno Kastina,10437.349999999991,15.730508959925233
Kogi Kano Adawama,9633.75,14.519374237012252
Lagos Gombe Kogi,8822.800000000003,13.297162062365302
Adamawa Bauchi Borno,6246.100000000006,9.413723983059796
Kano,5248.25,7.909828035749272
Kano Kaduna,5213.25,7.857078265587557
Cross River,2508.100000000006,3.7800485297885573
