year,month_num,total_cases,total_deaths,record_count,t,log_cases
2016,1,50.0,5.0,2,0,3.9318256327243257
2016,2,72.0,19.0,4,1,4.290459441148391
2016,3,52.0,8.0,2,2,3.970291913552122
2017,1,50.0,6.0,1,3,3.9318256327243257
2017,2,16.0,8.0,3,4,2.833213344056216
2017,3,79.0,11.0,4,5,4.382026634673881
2017,4,57.0,8.0,2,6,4.060443010546419
2017,5,106.0,15.0,4,7,4.672828834461906
2017,6,268.0,35.0,4,8,5.594711379601839
2017,7,228.0,14.0,4,9,5.43372200355424
2017,8,1321.0,36.0,6,10,7.186901020411631
2017,9,1034.0,34.0,3,11,6.942156705699469
2017,10,270.0,31.0,5,12,5.602118820879701
2017,11,47.0,13.0,4,13,3.871201010907891
2017,12,469.0,25.0,4,14,6.152732694704104
2018,1,158.0,18.0,5,15,5.0689042022202315
2018,2,41.0,17.0,4,16,3.7376696182833684
2018,3,718.0,26.0,4,17,6.577861357721047
2018,4,1554.0,20.0,3,18,7.349230824613334
2018,5,3178.0,42.0,6,19,8.064321960910803
2018,6,2557.0,39.0,4,20,7.846980982138788
2018,7,2609.0,46.0,5,21,7.867105500316739
2018,8,2476.0,53.0,4,22,7.814803429489359
2018,9,7779.0,160.0,4,23,8.959311617172437
2018,10,5148.0,51.0,5,24,8.546557800046141
2018,11,527.0,19.0,5,25,6.269096283706261
2018,12,101.0,25.0,4,26,4.624972813284271
2019,1,34.0,7.0,2,27,3.5553480614894135
2019,2,150.0,28.0,6,28,5.017279836814924
2019,3,87.0,17.0,5,29,4.477336814478207
2019,4,322.0,17.0,4,30,5.777652323222656
2019,5,102.0,24.0,4,31,4.634728988229636
2019,6,256.0,29.0,5,32,5.54907608489522
2019,7,551.0,24.0,4,33,6.313548046277095
2019,8,277.0,28.0,4,34,5.627621113690637
2019,9,280.0,26.0,5,35,5.638354669333745
2019,10,1131.0,24.0,4,36,7.0317412587631285
2019,11,1115.0,23.0,4,37,7.017506142941256
2019,12,94.0,30.0,5,38,4.553876891600541
2020,1,225.0,48.0,8,39,5.420534999272286
2020,2,328.0,31.0,3,40,5.796057750765372
2020,3,150.0,18.0,3,41,5.017279836814924
2020,4,100.0,31.0,7,42,4.61512051684126
2020,5,1146.0,128.0,8,43,7.044905117129371
2020,6,172.0,20.0,4,44,5.153291594497779
2020,7,431.0,43.0,5,45,6.068425588244111
2020,8,946.0,34.0,4,46,6.853299093186078
2020,9,815.0,44.0,2,47,6.704414354964107
2021,1,207.0,25.0,5,48,5.337538079701318
2021,2,191.0,34.0,6,49,5.2574953720277815
2021,3,130.0,25.0,4,50,4.875197323201151
2021,4,1247.0,49.0,5,51,7.129297548929373
2021,5,948.0,25.0,4,52,6.855408798609928
2021,6,3527.0,69.0,4,53,8.168486417126681
2021,7,8502.0,167.0,5,54,9.048174321385792
2021,8,3356.0,168.0,2,55,8.118802996980035
2021,11,829.0,18.0,2,56,6.721425700790643
2021,12,522.0,57.0,6,57,6.259581464064923
2022,9,1516.0,31.0,2,58,7.324489979348532
2022,10,190.0,42.0,5,59,5.25227342804663
2022,11,456.0,60.0,4,60,6.124683390894205
2022,12,476.0,31.0,4,61,6.1675164908883415
2023,1,147.0,22.0,4,62,4.997212273764115
2023,2,278.0,18.0,3,63,5.631211781821365
2023,3,121.0,26.0,5,64,4.804021044733257
2023,4,200.0,24.0,4,65,5.303304908059076
2023,5,66.0,16.0,3,66,4.204692619390966
2023,6,2183.0,56.0,5,67,7.688913336864796
2023,7,184.0,22.0,4,68,5.220355825078324
2023,8,2435.0,59.0,4,69,7.798112628829788
2023,9,507.0,28.0,4,70,6.230481447578482
2023,10,96.0,15.0,4,71,4.574710978503383
2023,11,192.0,20.0,5,72,5.262690188904886
2023,12,210.0,34.0,7,73,5.351858133476067
2024,1,72.0,15.0,3,74,4.290459441148391
2024,2,278.0,59.0,4,75,5.631211781821365
2024,3,234.0,46.0,4,76,5.459585514144159
2024,4,200.0,24.0,4,77,5.303304908059076
2024,5,51.0,11.0,4,78,3.9512437185814275
2024,6,200.0,24.0,4,79,5.303304908059076
2024,7,200.0,24.0,4,80,5.303304908059076
2024,8,200.0,24.0,4,81,5.303304908059076
2024,9,200.0,24.0,4,82,5.303304908059076
2024,10,200.0,24.0,4,83,5.303304908059076
2024,11,200.0,24.0,4,84,5.303304908059076
2024,12,350.0,42.0,7,85,5.860786223465865
