seed_run,fold_test_year,disease,Accuracy,F1_weighted
42,2022,AFP,0.143,0.036
42,2022,CSM,0.286,0.343
42,2022,Cholera,0.714,0.595
42,2022,Lassa Fever,1.0,1.0
42,2022,Measles,0.0,0.0
42,2022,Mpox,0.857,0.923
42,2022,Yellow Fever,0.0,0.0
42,2023,AFP,0.357,0.188
42,2023,CSM,0.786,0.691
42,2023,Cholera,0.0,0.0
42,2023,Lassa Fever,0.643,0.503
42,2023,Measles,0.0,0.0
42,2023,Mpox,0.643,0.503
42,2023,Yellow Fever,0.5,0.524
42,2024,AFP,0.441,0.27
42,2024,CSM,0.441,0.27
42,2024,Cholera,0.647,0.508
42,2024,Lassa Fever,0.147,0.077
42,2024,Measles,0.324,0.158
42,2024,Mpox,0.441,0.612
42,2024,Yellow Fever,0.471,0.389
42,2025,AFP,0.477,0.308
42,2025,CSM,0.341,0.173
42,2025,Cholera,0.227,0.084
42,2025,Lassa Fever,0.818,0.801
42,2025,Measles,0.045,0.004
42,2025,Mpox,0.591,0.585
42,2025,Yellow Fever,0.023,0.001
123,2022,AFP,0.143,0.048
123,2022,CSM,0.429,0.257
123,2022,Cholera,0.143,0.071
123,2022,Lassa Fever,1.0,1.0
123,2022,Measles,0.857,0.791
123,2022,Mpox,0.857,0.923
123,2022,Yellow Fever,0.714,0.714
123,2023,AFP,0.357,0.188
123,2023,CSM,0.071,0.01
123,2023,Cholera,0.0,0.0
123,2023,Lassa Fever,0.071,0.01
123,2023,Measles,0.0,0.0
123,2023,Mpox,0.643,0.503
123,2023,Yellow Fever,0.786,0.691
123,2024,AFP,0.441,0.27
123,2024,CSM,0.441,0.27
123,2024,Cholera,0.647,0.508
123,2024,Lassa Fever,0.588,0.609
123,2024,Measles,0.147,0.05
123,2024,Mpox,1.0,1.0
123,2024,Yellow Fever,0.294,0.134
123,2025,AFP,0.477,0.308
123,2025,CSM,0.341,0.173
123,2025,Cholera,0.545,0.385
123,2025,Lassa Fever,0.773,0.674
123,2025,Measles,0.5,0.56
123,2025,Mpox,0.614,0.467
123,2025,Yellow Fever,0.023,0.001
2024,2022,AFP,0.714,0.595
2024,2022,CSM,0.429,0.257
2024,2022,Cholera,0.286,0.127
2024,2022,Lassa Fever,0.0,0.0
2024,2022,Measles,0.857,0.791
2024,2022,Mpox,0.714,0.833
2024,2022,Yellow Fever,0.143,0.095
2024,2023,AFP,0.357,0.188
2024,2023,CSM,0.071,0.112
2024,2023,Cholera,0.357,0.198
2024,2023,Lassa Fever,0.5,0.445
2024,2023,Measles,0.0,0.0
2024,2023,Mpox,0.643,0.503
2024,2023,Yellow Fever,0.214,0.253
2024,2024,AFP,0.265,0.111
2024,2024,CSM,0.441,0.27
2024,2024,Cholera,0.059,0.007
2024,2024,Lassa Fever,0.324,0.395
2024,2024,Measles,0.235,0.156
2024,2024,Mpox,0.5,0.667
2024,2024,Yellow Fever,0.559,0.401
2024,2025,AFP,0.477,0.308
2024,2025,CSM,0.341,0.173
2024,2025,Cholera,0.227,0.084
2024,2025,Lassa Fever,0.773,0.674
2024,2025,Measles,0.045,0.008
2024,2025,Mpox,0.341,0.344
2024,2025,Yellow Fever,0.273,0.262
