seed_run,fold_test_year,n_train_seq,n_test_seq,Naive_MAE,CNN_MAE,LSTM_MAE,CNN_LSTM_MAE,Proposed_MAE,attention_entropy_pct,mean_pred_std_ratio
42,2022,107,7,292.1228571428571,325.8671428571428,91.38857142857141,128.82142857142858,134.49,100.0,0.01
42,2023,122,14,87.28571428571429,84.2942857142857,68.91571428571429,80.55857142857144,81.06142857142856,99.9,0.015
42,2024,144,34,156.09571428571425,149.6057142857143,109.77714285714286,137.37428571428572,148.30999999999997,100.0,0.012
42,2025,186,44,105.97857142857141,106.18285714285716,89.10571428571428,100.79999999999998,102.53857142857143,99.9,0.011
123,2022,107,7,292.1228571428571,134.01142857142858,130.7642857142857,120.10000000000001,133.6357142857143,100.0,0.012
123,2023,122,14,87.28571428571429,81.93857142857144,67.51714285714286,76.03142857142858,80.36000000000001,100.0,0.016
123,2024,144,34,156.09571428571425,147.82285714285715,112.31285714285714,142.99285714285716,147.26142857142855,99.8,0.006
123,2025,186,44,105.97857142857141,105.10999999999999,82.04285714285716,98.71714285714287,103.56142857142858,99.9,0.028
2024,2022,107,7,292.1228571428571,129.60142857142856,100.00142857142855,128.53,130.29857142857142,99.8,0.026
2024,2023,122,14,87.28571428571429,79.75,72.93142857142857,77.49714285714286,80.73857142857142,100.0,0.011
2024,2024,144,34,156.09571428571425,147.69428571428574,135.6,139.63714285714283,145.45,100.0,0.005
2024,2025,186,44,105.97857142857141,106.10571428571427,91.45,101.54571428571428,101.05999999999999,99.9,0.013
