seed_run,fold_test_year,disease,model,MAE
42,2022,AFP,Naive,52.14
42,2022,AFP,CNN,29.6
42,2022,AFP,LSTM,16.49
42,2022,AFP,CNN_LSTM,82.81
42,2022,AFP,Proposed,90.73
42,2022,CSM,Naive,4.43
42,2022,CSM,CNN,5.17
42,2022,CSM,LSTM,5.15
42,2022,CSM,CNN_LSTM,4.13
42,2022,CSM,Proposed,4.82
42,2022,Cholera,Naive,1549.57
42,2022,Cholera,CNN,368.19
42,2022,Cholera,LSTM,337.5
42,2022,Cholera,CNN_LSTM,357.75
42,2022,Cholera,Proposed,374.82
42,2022,Lassa Fever,Naive,106.29
42,2022,Lassa Fever,CNN,128.38
42,2022,Lassa Fever,LSTM,37.78
42,2022,Lassa Fever,CNN_LSTM,103.94
42,2022,Lassa Fever,Proposed,115.88
42,2022,Measles,Naive,269.0
42,2022,Measles,CNN,1690.34
42,2022,Measles,LSTM,181.52
42,2022,Measles,CNN_LSTM,292.53
42,2022,Measles,Proposed,300.74
42,2022,Mpox,Naive,45.86
42,2022,Mpox,CNN,46.69
42,2022,Mpox,LSTM,45.64
42,2022,Mpox,CNN_LSTM,46.23
42,2022,Mpox,Proposed,46.32
42,2022,Yellow Fever,Naive,17.57
42,2022,Yellow Fever,CNN,12.7
42,2022,Yellow Fever,LSTM,15.64
42,2022,Yellow Fever,CNN_LSTM,14.36
42,2022,Yellow Fever,Proposed,8.12
42,2023,AFP,Naive,333.64
42,2023,AFP,CNN,333.07
42,2023,AFP,LSTM,310.93
42,2023,AFP,CNN_LSTM,329.44
42,2023,AFP,Proposed,331.91
42,2023,CSM,Naive,4.29
42,2023,CSM,CNN,4.07
42,2023,CSM,LSTM,5.02
42,2023,CSM,CNN_LSTM,3.67
42,2023,CSM,Proposed,3.84
42,2023,Cholera,Naive,22.0
42,2023,Cholera,CNN,21.43
42,2023,Cholera,LSTM,16.25
42,2023,Cholera,CNN_LSTM,17.86
42,2023,Cholera,Proposed,19.92
42,2023,Lassa Fever,Naive,108.71
42,2023,Lassa Fever,CNN,98.06
42,2023,Lassa Fever,LSTM,52.55
42,2023,Lassa Fever,CNN_LSTM,94.04
42,2023,Lassa Fever,Proposed,87.69
42,2023,Measles,Naive,71.57
42,2023,Measles,CNN,70.35
42,2023,Measles,LSTM,60.43
42,2023,Measles,CNN_LSTM,66.82
42,2023,Measles,Proposed,67.96
42,2023,Mpox,Naive,12.93
42,2023,Mpox,CNN,12.8
42,2023,Mpox,LSTM,12.86
42,2023,Mpox,CNN_LSTM,12.74
42,2023,Mpox,Proposed,12.82
42,2023,Yellow Fever,Naive,57.86
42,2023,Yellow Fever,CNN,50.28
42,2023,Yellow Fever,LSTM,24.37
42,2023,Yellow Fever,CNN_LSTM,39.34
42,2023,Yellow Fever,Proposed,43.29
42,2024,AFP,Naive,195.59
42,2024,AFP,CNN,99.14
42,2024,AFP,LSTM,68.37
42,2024,AFP,CNN_LSTM,68.34
42,2024,AFP,Proposed,97.86
42,2024,CSM,Naive,63.41
42,2024,CSM,CNN,62.55
42,2024,CSM,LSTM,58.82
42,2024,CSM,CNN_LSTM,61.62
42,2024,CSM,Proposed,62.46
