disease,MAE,RMSE,n,variant,seed_run,fold_test_year
AFP,0.2977018654346466,0.409218360693864,50,learned_gate,42,2020
CSM,1.0856152772903442,1.2503422268644675,50,learned_gate,42,2020
Cholera,2.0869414806365967,2.4770823032472187,50,learned_gate,42,2020
Lassa Fever,0.6107702851295471,0.8439053639670546,50,learned_gate,42,2020
Measles,1.0517401695251465,1.219222539602274,50,learned_gate,42,2020
Mpox,0.9125006794929504,0.9693616658811807,50,learned_gate,42,2020
Yellow Fever,1.079555630683899,1.1817930012968108,50,learned_gate,42,2020
AFP,0.26827871799468994,0.38100395392821784,50,uniform_gate,42,2020
CSM,1.0138870477676392,1.1814012521457187,50,uniform_gate,42,2020
Cholera,1.9857972860336304,2.3781684019361475,50,uniform_gate,42,2020
Lassa Fever,0.5984894633293152,0.8371062620018748,50,uniform_gate,42,2020
Measles,0.9157623052597046,1.0497757876654383,50,uniform_gate,42,2020
Mpox,0.8008294105529785,0.851029220328178,50,uniform_gate,42,2020
Yellow Fever,1.0354269742965698,1.133665198000912,50,uniform_gate,42,2020
AFP,0.5339551568031311,0.5956388845356505,27,learned_gate,42,2021
CSM,1.04142165184021,1.2673618032142921,27,learned_gate,42,2021
Cholera,2.118494749069214,2.4686645299868086,27,learned_gate,42,2021
Lassa Fever,0.43907544016838074,0.5512306328050708,27,learned_gate,42,2021
Measles,0.591905951499939,0.7449207771985307,27,learned_gate,42,2021
Mpox,0.5740143060684204,0.6320141595479567,27,learned_gate,42,2021
Yellow Fever,0.7251223921775818,0.8067621319676928,27,learned_gate,42,2021
AFP,0.44396838545799255,0.5099768365480304,27,uniform_gate,42,2021
CSM,0.8133862018585205,1.018528938882357,27,uniform_gate,42,2021
Cholera,2.553602457046509,2.984286641515528,27,uniform_gate,42,2021
Lassa Fever,0.3382602334022522,0.3874204800136996,27,uniform_gate,42,2021
Measles,0.530357301235199,0.6625135645287465,27,uniform_gate,42,2021
Mpox,0.6138147711753845,0.686043887914295,27,uniform_gate,42,2021
Yellow Fever,0.5173816680908203,0.5876400435712416,27,uniform_gate,42,2021
AFP,0.3954511880874634,0.5079953671360522,15,learned_gate,42,2022
CSM,0.5512685775756836,0.6919728775194182,15,learned_gate,42,2022
Cholera,1.9576185941696167,2.157738655478619,15,learned_gate,42,2022
Lassa Fever,0.2820468544960022,0.33926101577643264,15,learned_gate,42,2022
Measles,0.73598313331604,0.9215076813897709,15,learned_gate,42,2022
Mpox,2.592057228088379,2.7454789017349643,15,learned_gate,42,2022
Yellow Fever,0.39014893770217896,0.5118897421720281,15,learned_gate,42,2022
AFP,0.3167824447154999,0.4135103502915503,15,uniform_gate,42,2022
CSM,0.6028608679771423,0.7378760946770713,15,uniform_gate,42,2022
Cholera,1.3053961992263794,1.6457094878266803,15,uniform_gate,42,2022
Lassa Fever,0.19122597575187683,0.25078749307247317,15,uniform_gate,42,2022
Measles,0.5907681584358215,0.7248531044752959,15,uniform_gate,42,2022
Mpox,2.3940229415893555,2.541523090330454,15,uniform_gate,42,2022
Yellow Fever,0.599453330039978,0.687520720429721,15,uniform_gate,42,2022
AFP,0.8443750739097595,1.2864411490627277,22,learned_gate,42,2023
CSM,1.1336244344711304,1.387943210781248,22,learned_gate,42,2023
Cholera,1.1345630884170532,1.3539418351768262,22,learned_gate,42,2023
Lassa Fever,0.29841774702072144,0.38276010271489397,22,learned_gate,42,2023
Measles,1.5119056701660156,1.7204519688254951,22,learned_gate,42,2023
Mpox,1.703149676322937,1.9407193908832854,22,learned_gate,42,2023
Yellow Fever,0.5837388038635254,0.735311519753467,22,learned_gate,42,2023
AFP,0.8567937612533569,1.3028670533658981,22,uniform_gate,42,2023
CSM,1.1922677755355835,1.4849439634802768,22,uniform_gate,42,2023
Cholera,1.0064890384674072,1.1698977765640715,22,uniform_gate,42,2023
Lassa Fever,0.30023953318595886,0.3423844328176628,22,uniform_gate,42,2023
Measles,1.5740126371383667,1.7725372718368038,22,uniform_gate,42,2023
Mpox,1.6770484447479248,1.9057957467577644,22,uniform_gate,42,2023
Yellow Fever,0.5867733359336853,0.7048486140562596,22,uniform_gate,42,2023
AFP,0.5427684783935547,0.7134445755516214,42,learned_gate,42,2024
CSM,1.8198821544647217,2.1003902526821085,42,learned_gate,42,2024
Cholera,1.6062698364257812,1.9820138295227183,42,learned_gate,42,2024
Lassa Fever,0.6554988026618958,0.8646065046277084,42,learned_gate,42,2024
Measles,0.9396824836730957,1.0600287926560135,42,learned_gate,42,2024
Mpox,2.106788158416748,2.1668992162275,42,learned_gate,42,2024
Yellow Fever,0.5232900977134705,0.696973809049812,42,learned_gate,42,2024
AFP,0.5355609059333801,0.6908385322115959,42,uniform_gate,42,2024
CSM,1.7938166856765747,2.1097458124952078,42,uniform_gate,42,2024
Cholera,1.869107961654663,2.3320786872269057,42,uniform_gate,42,2024
Lassa Fever,0.6947941780090332,0.9018624413369978,42,uniform_gate,42,2024
Measles,0.8704530596733093,0.9947885676363994,42,uniform_gate,42,2024
Mpox,2.3010737895965576,2.350518384532525,42,uniform_gate,42,2024
Yellow Fever,0.5590893626213074,0.6952543127165537,42,uniform_gate,42,2024
AFP,0.6918264031410217,1.1117604358441497,52,learned_gate,42,2025
CSM,1.6256331205368042,1.9100349871441802,52,learned_gate,42,2025
Cholera,1.8578898906707764,2.1245665388633657,52,learned_gate,42,2025
Lassa Fever,0.41205504536628723,0.5152699375098787,52,learned_gate,42,2025
Measles,1.649442195892334,2.190432299792245,52,learned_gate,42,2025
Mpox,1.7972495555877686,1.9389703155417315,52,learned_gate,42,2025
Yellow Fever,0.7088261246681213,1.1710023810006553,52,learned_gate,42,2025
AFP,0.6422668099403381,1.0978891254616496,52,uniform_gate,42,2025
CSM,1.7205233573913574,1.997645541965398,52,uniform_gate,42,2025
Cholera,1.6368639469146729,1.9641055470364346,52,uniform_gate,42,2025
Lassa Fever,0.34690219163894653,0.46149330250642373,52,uniform_gate,42,2025
Measles,1.7551900148391724,2.3797089924533688,52,uniform_gate,42,2025
Mpox,1.6984565258026123,1.7619638209098019,52,uniform_gate,42,2025
Yellow Fever,0.676447331905365,1.1584765672746422,52,uniform_gate,42,2025
AFP,1.6661173105239868,2.142357229775063,9,learned_gate,42,2026
CSM,0.44254425168037415,0.5293133722528506,9,learned_gate,42,2026
Cholera,2.366844892501831,2.540848887058027,9,learned_gate,42,2026
Lassa Fever,0.6210363507270813,0.8433573833687656,9,learned_gate,42,2026
Measles,0.2945130169391632,0.3490545249376273,9,learned_gate,42,2026
Mpox,0.2978385388851166,0.38738340038683083,9,learned_gate,42,2026
Yellow Fever,0.9439342021942139,1.0056777938346888,9,learned_gate,42,2026
AFP,1.466768741607666,1.988592576870093,9,uniform_gate,42,2026
CSM,0.8047268986701965,0.897434039122715,9,uniform_gate,42,2026
Cholera,1.4545899629592896,1.7157752216213407,9,uniform_gate,42,2026
Lassa Fever,0.7689898610115051,0.9303948091968147,9,uniform_gate,42,2026
Measles,0.24520424008369446,0.3449841150482994,9,uniform_gate,42,2026
Mpox,0.8117731213569641,0.8930439808044176,9,uniform_gate,42,2026
Yellow Fever,0.6164748072624207,0.707634768371598,9,uniform_gate,42,2026
AFP,0.24480198323726654,0.3381432817949739,50,learned_gate,123,2020
CSM,0.9718635678291321,1.1460324490099112,50,learned_gate,123,2020
