disease,MAE,n,variant,seed_run,fold_test_year
AFP,0.28145697712898254,50,uniform_gate,42,2020
CSM,1.0597960948944092,50,uniform_gate,42,2020
Cholera,2.056800603866577,50,uniform_gate,42,2020
Lassa Fever,0.6081563234329224,50,uniform_gate,42,2020
Measles,1.0159507989883423,50,uniform_gate,42,2020
Mpox,0.8642152547836304,50,uniform_gate,42,2020
Yellow Fever,1.0595428943634033,50,uniform_gate,42,2020
AFP,0.25290557742118835,50,entropy_w_0.0,42,2020
CSM,1.032800555229187,50,entropy_w_0.0,42,2020
Cholera,1.9924522638320923,50,entropy_w_0.0,42,2020
Lassa Fever,0.6138695478439331,50,entropy_w_0.0,42,2020
Measles,1.0276092290878296,50,entropy_w_0.0,42,2020
Mpox,0.8257378339767456,50,entropy_w_0.0,42,2020
Yellow Fever,1.0320414304733276,50,entropy_w_0.0,42,2020
AFP,0.2997548282146454,50,entropy_w_0.02,42,2020
CSM,1.0539886951446533,50,entropy_w_0.02,42,2020
Cholera,2.063127040863037,50,entropy_w_0.02,42,2020
Lassa Fever,0.5981964468955994,50,entropy_w_0.02,42,2020
Measles,0.9440985321998596,50,entropy_w_0.02,42,2020
Mpox,0.8678179383277893,50,entropy_w_0.02,42,2020
Yellow Fever,1.0685040950775146,50,entropy_w_0.02,42,2020
AFP,0.25419652462005615,50,entropy_w_0.05,42,2020
CSM,1.0321323871612549,50,entropy_w_0.05,42,2020
Cholera,1.984792947769165,50,entropy_w_0.05,42,2020
Lassa Fever,0.6256479024887085,50,entropy_w_0.05,42,2020
Measles,1.092244267463684,50,entropy_w_0.05,42,2020
Mpox,0.8321489691734314,50,entropy_w_0.05,42,2020
Yellow Fever,1.028823971748352,50,entropy_w_0.05,42,2020
AFP,0.36389297246932983,50,entropy_w_0.1,42,2020
CSM,1.067714810371399,50,entropy_w_0.1,42,2020
Cholera,2.0733323097229004,50,entropy_w_0.1,42,2020
Lassa Fever,0.5855667591094971,50,entropy_w_0.1,42,2020
Measles,0.8817019462585449,50,entropy_w_0.1,42,2020
Mpox,0.8893343210220337,50,entropy_w_0.1,42,2020
Yellow Fever,1.0870763063430786,50,entropy_w_0.1,42,2020
AFP,0.3175389766693115,50,entropy_w_0.2,42,2020
CSM,1.0819344520568848,50,entropy_w_0.2,42,2020
Cholera,2.1161487102508545,50,entropy_w_0.2,42,2020
Lassa Fever,0.6279076337814331,50,entropy_w_0.2,42,2020
Measles,1.0791871547698975,50,entropy_w_0.2,42,2020
Mpox,0.9045715928077698,50,entropy_w_0.2,42,2020
Yellow Fever,1.0946974754333496,50,entropy_w_0.2,42,2020
AFP,0.47200050950050354,27,uniform_gate,42,2021
CSM,0.8519390225410461,27,uniform_gate,42,2021
Cholera,2.406480073928833,27,uniform_gate,42,2021
Lassa Fever,0.3323957026004791,27,uniform_gate,42,2021
Measles,0.5302343964576721,27,uniform_gate,42,2021
Mpox,0.6112038493156433,27,uniform_gate,42,2021
Yellow Fever,0.5514561533927917,27,uniform_gate,42,2021
AFP,0.4082825183868408,27,entropy_w_0.0,42,2021
CSM,0.7750846147537231,27,entropy_w_0.0,42,2021
Cholera,2.662928581237793,27,entropy_w_0.0,42,2021
Lassa Fever,0.32075175642967224,27,entropy_w_0.0,42,2021
Measles,0.5442761182785034,27,entropy_w_0.0,42,2021
Mpox,0.6144924759864807,27,entropy_w_0.0,42,2021
Yellow Fever,0.46724361181259155,27,entropy_w_0.0,42,2021
AFP,0.4699069857597351,27,entropy_w_0.02,42,2021
CSM,0.8913531303405762,27,entropy_w_0.02,42,2021
Cholera,2.279195547103882,27,entropy_w_0.02,42,2021
Lassa Fever,0.37043702602386475,27,entropy_w_0.02,42,2021
Measles,0.5418416261672974,27,entropy_w_0.02,42,2021
Mpox,0.5951066613197327,27,entropy_w_0.02,42,2021
Yellow Fever,0.5842007994651794,27,entropy_w_0.02,42,2021
AFP,0.5322261452674866,27,entropy_w_0.05,42,2021
CSM,0.9777482151985168,27,entropy_w_0.05,42,2021
Cholera,2.1061770915985107,27,entropy_w_0.05,42,2021
Lassa Fever,0.42687296867370605,27,entropy_w_0.05,42,2021
Measles,0.5266671180725098,27,entropy_w_0.05,42,2021
Mpox,0.6025213599205017,27,entropy_w_0.05,42,2021
Yellow Fever,0.6817125678062439,27,entropy_w_0.05,42,2021
AFP,0.42374512553215027,27,entropy_w_0.1,42,2021
CSM,0.8323700428009033,27,entropy_w_0.1,42,2021
Cholera,2.4656550884246826,27,entropy_w_0.1,42,2021
Lassa Fever,0.36299774050712585,27,entropy_w_0.1,42,2021
Measles,0.5316664576530457,27,entropy_w_0.1,42,2021
Mpox,0.62537682056427,27,entropy_w_0.1,42,2021
Yellow Fever,0.5192147493362427,27,entropy_w_0.1,42,2021
AFP,0.5111634135246277,27,entropy_w_0.2,42,2021
CSM,0.8656270503997803,27,entropy_w_0.2,42,2021
Cholera,2.2950761318206787,27,entropy_w_0.2,42,2021
Lassa Fever,0.3882552981376648,27,entropy_w_0.2,42,2021
Measles,0.43508419394493103,27,entropy_w_0.2,42,2021
Mpox,0.6067478656768799,27,entropy_w_0.2,42,2021
Yellow Fever,0.5776612162590027,27,entropy_w_0.2,42,2021
AFP,0.39136117696762085,15,uniform_gate,42,2022
CSM,0.5795188546180725,15,uniform_gate,42,2022
Cholera,1.807474970817566,15,uniform_gate,42,2022
Lassa Fever,0.23620501160621643,15,uniform_gate,42,2022
Measles,0.7057076692581177,15,uniform_gate,42,2022
Mpox,2.5611720085144043,15,uniform_gate,42,2022
Yellow Fever,0.42943426966667175,15,uniform_gate,42,2022
AFP,0.30692195892333984,15,entropy_w_0.0,42,2022
CSM,0.5749489068984985,15,entropy_w_0.0,42,2022
Cholera,1.2825852632522583,15,entropy_w_0.0,42,2022
Lassa Fever,0.2155541032552719,15,entropy_w_0.0,42,2022
Measles,0.5332740545272827,15,entropy_w_0.0,42,2022
Mpox,2.3921096324920654,15,entropy_w_0.0,42,2022
Yellow Fever,0.5986431241035461,15,entropy_w_0.0,42,2022
AFP,0.39254704117774963,15,entropy_w_0.02,42,2022
CSM,0.6254822611808777,15,entropy_w_0.02,42,2022
Cholera,1.6117465496063232,15,entropy_w_0.02,42,2022
Lassa Fever,0.22512286901474,15,entropy_w_0.02,42,2022
Measles,0.6850906610488892,15,entropy_w_0.02,42,2022
Mpox,2.5002145767211914,15,entropy_w_0.02,42,2022
Yellow Fever,0.5309230089187622,15,entropy_w_0.02,42,2022
AFP,0.36951106786727905,15,entropy_w_0.05,42,2022
CSM,0.5867586731910706,15,entropy_w_0.05,42,2022
Cholera,1.6146849393844604,15,entropy_w_0.05,42,2022
Lassa Fever,0.23545026779174805,15,entropy_w_0.05,42,2022
Measles,0.6775467991828918,15,entropy_w_0.05,42,2022
Mpox,2.456660747528076,15,entropy_w_0.05,42,2022
Yellow Fever,0.6700388789176941,15,entropy_w_0.05,42,2022
AFP,0.41137394309043884,15,entropy_w_0.1,42,2022
CSM,0.5258638262748718,15,entropy_w_0.1,42,2022
Cholera,1.9850990772247314,15,entropy_w_0.1,42,2022
Lassa Fever,0.2878113389015198,15,entropy_w_0.1,42,2022
Measles,0.7302860021591187,15,entropy_w_0.1,42,2022
Mpox,2.6173455715179443,15,entropy_w_0.1,42,2022
Yellow Fever,0.36733654141426086,15,entropy_w_0.1,42,2022
AFP,0.3976631164550781,15,entropy_w_0.2,42,2022
CSM,0.4878155589103699,15,entropy_w_0.2,42,2022
Cholera,1.986924409866333,15,entropy_w_0.2,42,2022
Lassa Fever,0.31216394901275635,15,entropy_w_0.2,42,2022
Measles,0.746105968952179,15,entropy_w_0.2,42,2022
Mpox,2.6232354640960693,15,entropy_w_0.2,42,2022
Yellow Fever,0.35938510298728943,15,entropy_w_0.2,42,2022
AFP,0.8067254424095154,22,uniform_gate,42,2023
CSM,1.1879290342330933,22,uniform_gate,42,2023
Cholera,0.9914348721504211,22,uniform_gate,42,2023
Lassa Fever,0.33009254932403564,22,uniform_gate,42,2023
Measles,1.577968716621399,22,uniform_gate,42,2023
Mpox,1.7593798637390137,22,uniform_gate,42,2023
Yellow Fever,0.6638215184211731,22,uniform_gate,42,2023
AFP,0.8159715533256531,22,entropy_w_0.0,42,2023
CSM,1.2153401374816895,22,entropy_w_0.0,42,2023
Cholera,1.009128451347351,22,entropy_w_0.0,42,2023
Lassa Fever,0.31522300839424133,22,entropy_w_0.0,42,2023
Measles,1.6149288415908813,22,entropy_w_0.0,42,2023
Mpox,1.7176705598831177,22,entropy_w_0.0,42,2023
Yellow Fever,0.5996761918067932,22,entropy_w_0.0,42,2023
AFP,0.7264947295188904,22,entropy_w_0.02,42,2023
CSM,1.5146056413650513,22,entropy_w_0.02,42,2023
Cholera,1.4793246984481812,22,entropy_w_0.02,42,2023
Lassa Fever,0.3351386785507202,22,entropy_w_0.02,42,2023
Measles,1.9685250520706177,22,entropy_w_0.02,42,2023
Mpox,1.7794839143753052,22,entropy_w_0.02,42,2023
Yellow Fever,0.7649905681610107,22,entropy_w_0.02,42,2023
AFP,0.8101510405540466,22,entropy_w_0.05,42,2023
CSM,1.2561570405960083,22,entropy_w_0.05,42,2023
Cholera,1.1405482292175293,22,entropy_w_0.05,42,2023
Lassa Fever,0.2855341136455536,22,entropy_w_0.05,42,2023
Measles,1.8258624076843262,22,entropy_w_0.05,42,2023
Mpox,1.6956387758255005,22,entropy_w_0.05,42,2023
Yellow Fever,0.6038802266120911,22,entropy_w_0.05,42,2023
AFP,0.8126692175865173,22,entropy_w_0.1,42,2023
CSM,1.2310563325881958,22,entropy_w_0.1,42,2023
Cholera,1.0961312055587769,22,entropy_w_0.1,42,2023
Lassa Fever,0.28954654932022095,22,entropy_w_0.1,42,2023
Measles,1.7406951189041138,22,entropy_w_0.1,42,2023
Mpox,1.6934590339660645,22,entropy_w_0.1,42,2023
Yellow Fever,0.6248777508735657,22,entropy_w_0.1,42,2023
AFP,0.824293851852417,22,entropy_w_0.2,42,2023
CSM,1.2007710933685303,22,entropy_w_0.2,42,2023
Cholera,0.9541407227516174,22,entropy_w_0.2,42,2023
Lassa Fever,0.3359936773777008,22,entropy_w_0.2,42,2023
Measles,1.5379177331924438,22,entropy_w_0.2,42,2023
Mpox,1.7569788694381714,22,entropy_w_0.2,42,2023
Yellow Fever,0.6286717653274536,22,entropy_w_0.2,42,2023
AFP,0.492399662733078,42,uniform_gate,42,2024
CSM,1.742510437965393,42,uniform_gate,42,2024
Cholera,1.5848190784454346,42,uniform_gate,42,2024
Lassa Fever,0.6252954602241516,42,uniform_gate,42,2024
Measles,0.8509277105331421,42,uniform_gate,42,2024
Mpox,2.0833656787872314,42,uniform_gate,42,2024
Yellow Fever,0.48335492610931396,42,uniform_gate,42,2024
AFP,0.5616002082824707,42,entropy_w_0.0,42,2024
CSM,1.84963059425354,42,entropy_w_0.0,42,2024
