disease,MAE,n,variant,seed_run,fold_test_year,horizon
AFP,0.2756091058254242,50,learned_gate,42,2020,1
CSM,1.057400107383728,50,learned_gate,42,2020,1
Cholera,2.0483012199401855,50,learned_gate,42,2020,1
Lassa Fever,0.6201528310775757,50,learned_gate,42,2020,1
Measles,1.065475344657898,50,learned_gate,42,2020,1
Mpox,0.8662654161453247,50,learned_gate,42,2020,1
Yellow Fever,1.0625592470169067,50,learned_gate,42,2020,1
AFP,0.26759135723114014,50,uniform_gate,42,2020,1
CSM,1.0123567581176758,50,uniform_gate,42,2020,1
Cholera,1.9649107456207275,50,uniform_gate,42,2020,1
Lassa Fever,0.5997423529624939,50,uniform_gate,42,2020,1
Measles,0.9093134999275208,50,uniform_gate,42,2020,1
Mpox,0.7996739745140076,50,uniform_gate,42,2020,1
Yellow Fever,1.0362443923950195,50,uniform_gate,42,2020,1
AFP,0.43331578373908997,27,learned_gate,42,2021,1
CSM,0.8497916460037231,27,learned_gate,42,2021,1
Cholera,2.3443830013275146,27,learned_gate,42,2021,1
Lassa Fever,0.4454664885997772,27,learned_gate,42,2021,1
Measles,0.5125846266746521,27,learned_gate,42,2021,1
Mpox,0.6622610688209534,27,learned_gate,42,2021,1
Yellow Fever,0.534038245677948,27,learned_gate,42,2021,1
AFP,0.49340713024139404,27,uniform_gate,42,2021,1
CSM,0.928061306476593,27,uniform_gate,42,2021,1
Cholera,2.18017315864563,27,uniform_gate,42,2021,1
Lassa Fever,0.447329580783844,27,uniform_gate,42,2021,1
Measles,0.4918384552001953,27,uniform_gate,42,2021,1
Mpox,0.6081795692443848,27,uniform_gate,42,2021,1
Yellow Fever,0.6384456157684326,27,uniform_gate,42,2021,1
AFP,0.37170615792274475,15,learned_gate,42,2022,1
CSM,0.641279935836792,15,learned_gate,42,2022,1
Cholera,1.5486257076263428,15,learned_gate,42,2022,1
Lassa Fever,0.19255733489990234,15,learned_gate,42,2022,1
Measles,0.726947009563446,15,learned_gate,42,2022,1
Mpox,2.4517059326171875,15,learned_gate,42,2022,1
Yellow Fever,0.5409393310546875,15,learned_gate,42,2022,1
AFP,0.3085860013961792,15,uniform_gate,42,2022,1
CSM,0.5727756023406982,15,uniform_gate,42,2022,1
Cholera,1.3545035123825073,15,uniform_gate,42,2022,1
Lassa Fever,0.20014041662216187,15,uniform_gate,42,2022,1
Measles,0.5768039226531982,15,uniform_gate,42,2022,1
Mpox,2.404240846633911,15,uniform_gate,42,2022,1
Yellow Fever,0.5734421610832214,15,uniform_gate,42,2022,1
AFP,0.8424441814422607,22,learned_gate,42,2023,1
CSM,1.227396845817566,22,learned_gate,42,2023,1
Cholera,0.9645838141441345,22,learned_gate,42,2023,1
Lassa Fever,0.33938348293304443,22,learned_gate,42,2023,1
Measles,1.5396751165390015,22,learned_gate,42,2023,1
Mpox,1.7695003747940063,22,learned_gate,42,2023,1
Yellow Fever,0.6163210272789001,22,learned_gate,42,2023,1
AFP,0.8249267935752869,22,uniform_gate,42,2023,1
CSM,1.2318273782730103,22,uniform_gate,42,2023,1
Cholera,0.9702091813087463,22,uniform_gate,42,2023,1
Lassa Fever,0.31231069564819336,22,uniform_gate,42,2023,1
Measles,1.5682330131530762,22,uniform_gate,42,2023,1
Mpox,1.7302024364471436,22,uniform_gate,42,2023,1
Yellow Fever,0.6009660363197327,22,uniform_gate,42,2023,1
AFP,0.5339938998222351,42,learned_gate,42,2024,1
CSM,1.7921788692474365,42,learned_gate,42,2024,1
Cholera,1.412543535232544,42,learned_gate,42,2024,1
Lassa Fever,0.6344380378723145,42,learned_gate,42,2024,1
Measles,0.9443447589874268,42,learned_gate,42,2024,1
Mpox,1.876691222190857,42,learned_gate,42,2024,1
Yellow Fever,0.4710133373737335,42,learned_gate,42,2024,1
AFP,0.5145955085754395,42,uniform_gate,42,2024,1
CSM,1.7809967994689941,42,uniform_gate,42,2024,1
Cholera,1.4992083311080933,42,uniform_gate,42,2024,1
Lassa Fever,0.6310046315193176,42,uniform_gate,42,2024,1
Measles,0.9062690734863281,42,uniform_gate,42,2024,1
Mpox,2.043529748916626,42,uniform_gate,42,2024,1
Yellow Fever,0.47642627358436584,42,uniform_gate,42,2024,1
AFP,0.6057837009429932,52,learned_gate,42,2025,1
CSM,1.8027164936065674,52,learned_gate,42,2025,1
Cholera,1.8403878211975098,52,learned_gate,42,2025,1
Lassa Fever,0.5370208621025085,52,learned_gate,42,2025,1
Measles,1.300199031829834,52,learned_gate,42,2025,1
Mpox,2.069946765899658,52,learned_gate,42,2025,1
Yellow Fever,0.6388749480247498,52,learned_gate,42,2025,1
AFP,0.6604031920433044,52,uniform_gate,42,2025,1
CSM,1.7290440797805786,52,uniform_gate,42,2025,1
Cholera,1.6692949533462524,52,uniform_gate,42,2025,1
Lassa Fever,0.34892845153808594,52,uniform_gate,42,2025,1
Measles,1.7403559684753418,52,uniform_gate,42,2025,1
