disease,MAE,n,variant,seed_run,fold_test_year
AFP,0.22865471243858337,50,tcn_only,42,2020
CSM,0.992628276348114,50,tcn_only,42,2020
Cholera,1.9149950742721558,50,tcn_only,42,2020
Lassa Fever,0.6260815858840942,50,tcn_only,42,2020
Measles,1.0490403175354004,50,tcn_only,42,2020
Mpox,0.7731073498725891,50,tcn_only,42,2020
Yellow Fever,0.9958181977272034,50,tcn_only,42,2020
AFP,0.3132670521736145,50,bilstm_only,42,2020
CSM,1.0849432945251465,50,bilstm_only,42,2020
Cholera,2.096541404724121,50,bilstm_only,42,2020
Lassa Fever,0.6050785183906555,50,bilstm_only,42,2020
Measles,1.0379533767700195,50,bilstm_only,42,2020
Mpox,0.9091353416442871,50,bilstm_only,42,2020
Yellow Fever,1.0823670625686646,50,bilstm_only,42,2020
AFP,0.2859681248664856,50,transformer_only,42,2020
CSM,1.0280934572219849,50,transformer_only,42,2020
Cholera,2.0207650661468506,50,transformer_only,42,2020
Lassa Fever,0.5903974175453186,50,transformer_only,42,2020
Measles,0.8803948163986206,50,transformer_only,42,2020
Mpox,0.8277271389961243,50,transformer_only,42,2020
Yellow Fever,1.051470398902893,50,transformer_only,42,2020
AFP,0.256154328584671,50,no_tcn,42,2020
CSM,0.9323104023933411,50,no_tcn,42,2020
Cholera,1.8374067544937134,50,no_tcn,42,2020
Lassa Fever,0.6022552251815796,50,no_tcn,42,2020
Measles,0.8552181720733643,50,no_tcn,42,2020
Mpox,0.6815795302391052,50,no_tcn,42,2020
Yellow Fever,0.9749131798744202,50,no_tcn,42,2020
AFP,0.2759125828742981,50,no_bilstm,42,2020
CSM,1.0495405197143555,50,no_bilstm,42,2020
Cholera,2.0187582969665527,50,no_bilstm,42,2020
Lassa Fever,0.6044331192970276,50,no_bilstm,42,2020
Measles,0.9940972924232483,50,no_bilstm,42,2020
Mpox,0.8434385657310486,50,no_bilstm,42,2020
Yellow Fever,1.0573580265045166,50,no_bilstm,42,2020
AFP,0.255470335483551,50,no_transformer,42,2020
CSM,1.0157020092010498,50,no_transformer,42,2020
Cholera,1.965043306350708,50,no_transformer,42,2020
Lassa Fever,0.6171760559082031,50,no_transformer,42,2020
Measles,1.0389708280563354,50,no_transformer,42,2020
Mpox,0.8085600137710571,50,no_transformer,42,2020
Yellow Fever,1.0267120599746704,50,no_transformer,42,2020
AFP,0.2929188013076782,50,full_uniform,42,2020
CSM,1.0676524639129639,50,full_uniform,42,2020
Cholera,2.07199764251709,50,full_uniform,42,2020
Lassa Fever,0.6062706112861633,50,full_uniform,42,2020
Measles,1.0045292377471924,50,full_uniform,42,2020
Mpox,0.8808313608169556,50,full_uniform,42,2020
Yellow Fever,1.0693066120147705,50,full_uniform,42,2020
AFP,0.40981802344322205,27,tcn_only,42,2021
CSM,0.6585612893104553,27,tcn_only,42,2021
Cholera,3.058861255645752,27,tcn_only,42,2021
Lassa Fever,0.3305512070655823,27,tcn_only,42,2021
Measles,0.6404332518577576,27,tcn_only,42,2021
Mpox,0.6666792631149292,27,tcn_only,42,2021
Yellow Fever,0.38107115030288696,27,tcn_only,42,2021
AFP,0.4003971815109253,27,bilstm_only,42,2021
CSM,0.7888744473457336,27,bilstm_only,42,2021
Cholera,2.546708822250366,27,bilstm_only,42,2021
Lassa Fever,0.3774816393852234,27,bilstm_only,42,2021
Measles,0.5277921557426453,27,bilstm_only,42,2021
Mpox,0.644284725189209,27,bilstm_only,42,2021
Yellow Fever,0.4734143018722534,27,bilstm_only,42,2021
AFP,0.48895537853240967,27,transformer_only,42,2021
CSM,0.8830201029777527,27,transformer_only,42,2021
Cholera,2.314063787460327,27,transformer_only,42,2021
Lassa Fever,0.42431265115737915,27,transformer_only,42,2021
Measles,0.4781257212162018,27,transformer_only,42,2021
Mpox,0.6223574876785278,27,transformer_only,42,2021
Yellow Fever,0.5992442965507507,27,transformer_only,42,2021
AFP,0.4911627471446991,27,no_tcn,42,2021
CSM,0.9306204915046692,27,no_tcn,42,2021
Cholera,2.1133599281311035,27,no_tcn,42,2021
Lassa Fever,0.4998081922531128,27,no_tcn,42,2021
Measles,0.4908846318721771,27,no_tcn,42,2021
Mpox,0.6437428593635559,27,no_tcn,42,2021
Yellow Fever,0.6412879228591919,27,no_tcn,42,2021
AFP,0.46272701025009155,27,no_bilstm,42,2021
CSM,0.8712087273597717,27,no_bilstm,42,2021
Cholera,2.4476513862609863,27,no_bilstm,42,2021
Lassa Fever,0.31447798013687134,27,no_bilstm,42,2021
Measles,0.5554355382919312,27,no_bilstm,42,2021
Mpox,0.5803595185279846,27,no_bilstm,42,2021
Yellow Fever,0.5575500130653381,27,no_bilstm,42,2021
AFP,0.4741385281085968,27,no_transformer,42,2021
CSM,0.893336832523346,27,no_transformer,42,2021
Cholera,2.2837796211242676,27,no_transformer,42,2021
Lassa Fever,0.3676326870918274,27,no_transformer,42,2021
Measles,0.5898761749267578,27,no_transformer,42,2021
Mpox,0.6119465827941895,27,no_transformer,42,2021
Yellow Fever,0.5792416930198669,27,no_transformer,42,2021
AFP,0.41899463534355164,27,full_uniform,42,2021
CSM,0.7920471429824829,27,full_uniform,42,2021
Cholera,2.543076515197754,27,full_uniform,42,2021
Lassa Fever,0.3261524736881256,27,full_uniform,42,2021
Measles,0.5396676063537598,27,full_uniform,42,2021
Mpox,0.6280971169471741,27,full_uniform,42,2021
Yellow Fever,0.4919111728668213,27,full_uniform,42,2021
AFP,0.47431543469429016,15,tcn_only,42,2022
CSM,0.6980604529380798,15,tcn_only,42,2022
Cholera,1.9691582918167114,15,tcn_only,42,2022
Lassa Fever,0.2807905077934265,15,tcn_only,42,2022
Measles,0.8401094079017639,15,tcn_only,42,2022
Mpox,2.590686798095703,15,tcn_only,42,2022
Yellow Fever,0.47725430130958557,15,tcn_only,42,2022
AFP,0.35270553827285767,15,bilstm_only,42,2022
CSM,0.5471788048744202,15,bilstm_only,42,2022
