disease,seed_run,fold_test_year,real_onset_week_idx,pred_onset_week_idx,lead_weeks,verdict
AFP,42,2020,26,,,MISSED
CSM,42,2020,11,,,MISSED
Cholera,42,2020,4,,,MISSED
Lassa Fever,42,2020,1,,,MISSED
Measles,42,2020,3,7.0,-4.0,LATE
Yellow Fever,42,2020,44,,,MISSED
Cholera,42,2021,3,,,MISSED
Mpox,42,2021,3,,,MISSED
AFP,42,2022,1,,,MISSED
CSM,42,2022,1,,,MISSED
Cholera,42,2022,11,,,MISSED
Lassa Fever,42,2022,14,,,MISSED
Measles,42,2022,1,,,MISSED
Mpox,42,2022,1,,,MISSED
AFP,42,2023,8,,,MISSED
CSM,42,2023,1,,,MISSED
Lassa Fever,42,2023,21,,,MISSED
Mpox,42,2023,2,,,MISSED
Yellow Fever,42,2023,19,,,MISSED
AFP,42,2024,0,12.0,-12.0,LATE
CSM,42,2024,0,,,MISSED
Cholera,42,2024,22,,,MISSED
Lassa Fever,42,2024,0,,,MISSED
Measles,42,2024,4,,,MISSED
Mpox,42,2024,3,,,MISSED
AFP,42,2025,8,,,MISSED
CSM,42,2025,8,,,MISSED
Cholera,42,2025,26,,,MISSED
Lassa Fever,42,2025,2,,,MISSED
Mpox,42,2025,0,,,MISSED
Lassa Fever,42,2026,5,,,MISSED
AFP,123,2020,26,,,MISSED
CSM,123,2020,11,,,MISSED
Cholera,123,2020,4,,,MISSED
Lassa Fever,123,2020,1,,,MISSED
Measles,123,2020,3,,,MISSED
Yellow Fever,123,2020,44,,,MISSED
Cholera,123,2021,3,,,MISSED
Mpox,123,2021,3,,,MISSED
AFP,123,2022,1,,,MISSED
CSM,123,2022,1,,,MISSED
Cholera,123,2022,11,,,MISSED
Lassa Fever,123,2022,14,,,MISSED
Measles,123,2022,1,,,MISSED
Mpox,123,2022,1,,,MISSED
AFP,123,2023,8,,,MISSED
CSM,123,2023,1,,,MISSED
Lassa Fever,123,2023,21,,,MISSED
Mpox,123,2023,2,,,MISSED
Yellow Fever,123,2023,19,,,MISSED
AFP,123,2024,0,,,MISSED
CSM,123,2024,0,,,MISSED
Cholera,123,2024,22,,,MISSED
Lassa Fever,123,2024,0,,,MISSED
Measles,123,2024,4,,,MISSED
Mpox,123,2024,3,,,MISSED
AFP,123,2025,8,5.0,3.0,EARLY
CSM,123,2025,8,,,MISSED
Cholera,123,2025,26,,,MISSED
Lassa Fever,123,2025,2,,,MISSED
Mpox,123,2025,0,,,MISSED
Lassa Fever,123,2026,5,,,MISSED
AFP,2024,2020,26,,,MISSED
CSM,2024,2020,11,,,MISSED
Cholera,2024,2020,4,,,MISSED
Lassa Fever,2024,2020,1,,,MISSED
Measles,2024,2020,3,7.0,-4.0,LATE
Yellow Fever,2024,2020,44,,,MISSED
Cholera,2024,2021,3,,,MISSED
Mpox,2024,2021,3,,,MISSED
AFP,2024,2022,1,,,MISSED
CSM,2024,2022,1,,,MISSED
Cholera,2024,2022,11,,,MISSED
Lassa Fever,2024,2022,14,,,MISSED
Measles,2024,2022,1,,,MISSED
Mpox,2024,2022,1,,,MISSED
AFP,2024,2023,8,,,MISSED
CSM,2024,2023,1,,,MISSED
Lassa Fever,2024,2023,21,,,MISSED
Mpox,2024,2023,2,,,MISSED
Yellow Fever,2024,2023,19,,,MISSED
AFP,2024,2024,0,,,MISSED
CSM,2024,2024,0,,,MISSED
Cholera,2024,2024,22,,,MISSED
Lassa Fever,2024,2024,0,,,MISSED
Measles,2024,2024,4,,,MISSED
Mpox,2024,2024,3,,,MISSED
AFP,2024,2025,8,6.0,2.0,EARLY
CSM,2024,2025,8,,,MISSED
Cholera,2024,2025,26,,,MISSED
Lassa Fever,2024,2025,2,,,MISSED
Mpox,2024,2025,0,,,MISSED
Lassa Fever,2024,2026,5,,,MISSED
