seed_run,fold_test_year,branch_a,branch_b,CKA,n_samples
42,2022,tcn,bilstm,0.3061,107
42,2022,tcn,transformer,0.3379,107
42,2022,bilstm,transformer,0.3389,107
42,2023,tcn,bilstm,0.5621,122
42,2023,tcn,transformer,0.4522,122
42,2023,bilstm,transformer,0.574,122
42,2024,tcn,bilstm,0.5489,144
42,2024,tcn,transformer,0.1931,144
42,2024,bilstm,transformer,0.5256,144
42,2025,tcn,bilstm,0.7832,186
42,2025,tcn,transformer,0.614,186
42,2025,bilstm,transformer,0.7564,186
123,2022,tcn,bilstm,0.5786,107
123,2022,tcn,transformer,0.4404,107
123,2022,bilstm,transformer,0.6156,107
123,2023,tcn,bilstm,0.624,122
123,2023,tcn,transformer,0.3834,122
123,2023,bilstm,transformer,0.5511,122
123,2024,tcn,bilstm,0.575,144
123,2024,tcn,transformer,0.2653,144
123,2024,bilstm,transformer,0.48,144
123,2025,tcn,bilstm,0.7965,186
123,2025,tcn,transformer,0.5731,186
123,2025,bilstm,transformer,0.3972,186
2024,2022,tcn,bilstm,0.5246,107
2024,2022,tcn,transformer,0.3846,107
2024,2022,bilstm,transformer,0.5644,107
2024,2023,tcn,bilstm,0.6359,122
2024,2023,tcn,transformer,0.3466,122
2024,2023,bilstm,transformer,0.6281,122
2024,2024,tcn,bilstm,0.4287,144
2024,2024,tcn,transformer,0.6423,144
2024,2024,bilstm,transformer,0.4767,144
2024,2025,tcn,bilstm,0.7328,186
2024,2025,tcn,transformer,0.4842,186
2024,2025,bilstm,transformer,0.6824,186
