seed_run,fold_test_year,branch,mean_cka_with_others,ablation_cost
42,2023,tcn,0.5072,4.91
42,2023,bilstm,0.568,-6.0
42,2023,transformer,0.5131,-0.52
42,2024,tcn,0.371,-11.87
42,2024,bilstm,0.5372,3.84
42,2024,transformer,0.3593,12.67
42,2025,tcn,0.6986,-43.1
42,2025,bilstm,0.7698,-33.28
42,2025,transformer,0.6852,-27.89
123,2023,tcn,0.5037,0.88
123,2023,bilstm,0.5876,11.05
123,2023,transformer,0.4673,-1.48
123,2024,tcn,0.4202,-17.87
123,2024,bilstm,0.5275,-8.08
123,2024,transformer,0.3726,-0.07
123,2025,tcn,0.6848,2.73
123,2025,bilstm,0.5968,-0.24
123,2025,transformer,0.4852,0.97
2024,2023,tcn,0.4912,37.65
2024,2023,bilstm,0.632,0.39
2024,2023,transformer,0.4874,2.47
2024,2024,tcn,0.5355,30.92
2024,2024,bilstm,0.4527,20.88
2024,2024,transformer,0.5595,10.05
2024,2025,tcn,0.6085,-15.87
2024,2025,bilstm,0.7076,20.87
2024,2025,transformer,0.5833,-10.35
