diseaseName,country,state,lga,year,epiWeek,suspectedCases,confirmedCases,deaths,rainfall,temperature,humidity
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,40,88,7,1,76.2,25.2,76.5
Lassa Fever,Nigeria,Rivers,Rivers LGA2,2019,40,88,7,1,68.9,28.8,75.6
Lassa Fever,Nigeria,Lagos,Lagos LGA2,2019,40,88,7,1,176.9,32.7,59.5
CSM,Nigeria,Ogun,Ogun LGA1,2019,40,15,0,0,144.5,31.7,75.2
CSM,Nigeria,Ogun,Ogun LGA2,2019,40,15,0,0,127.5,26.5,45.3
CSM,Nigeria,Kano,Kano LGA1,2019,40,15,0,0,87.9,37.6,55.8
Yellow Fever,Nigeria,Lagos,Lagos LGA2,2019,40,126,0,1,165.8,35.3,80.7
Yellow Fever,Nigeria,Enugu,Enugu LGA2,2019,40,126,0,1,41.1,31.1,33.1
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,40,126,0,1,63.2,27.4,60.7
Cholera,Nigeria,Kano,Kano LGA2,2019,40,24,0,0,170.3,29.7,84.0
Cholera,Nigeria,FCT,FCT LGA1,2019,40,24,0,0,209.7,29.5,85.7
Cholera,Nigeria,Ogun,Ogun LGA1,2019,40,24,0,0,121.6,27.9,80.8
Measles,Nigeria,Lagos,Lagos LGA1,2019,40,270,0,0,125.0,28.5,63.1
Measles,Nigeria,FCT,FCT LGA2,2019,40,270,0,0,131.9,32.8,76.5
Measles,Nigeria,Kano,Kano LGA1,2019,40,270,0,0,43.4,32.8,56.5
Mpox,Nigeria,Oyo,Oyo LGA1,2019,40,2,1,0,116.3,27.1,56.0
Mpox,Nigeria,Lagos,Lagos LGA1,2019,40,2,1,0,114.7,29.4,27.4
Mpox,Nigeria,FCT,FCT LGA1,2019,40,2,1,0,124.8,26.8,67.9
AFP,Nigeria,FCT,FCT LGA2,2019,40,110,0,0,164.4,29.4,61.6
AFP,Nigeria,Kano,Kano LGA1,2019,40,110,0,0,25.5,32.3,47.1
AFP,Nigeria,Oyo,Oyo LGA1,2019,40,110,0,0,91.5,33.4,71.8
Lassa Fever,Nigeria,Rivers,Rivers LGA1,2019,41,87,5,0,51.7,37.9,27.2
Lassa Fever,Nigeria,FCT,FCT LGA1,2019,41,87,5,0,12.8,32.7,73.4
Lassa Fever,Nigeria,Oyo,Oyo LGA2,2019,41,87,5,0,163.9,28.4,43.4
CSM,Nigeria,Kano,Kano LGA1,2019,41,26,0,0,131.7,27.1,73.2
CSM,Nigeria,Lagos,Lagos LGA1,2019,41,26,0,0,149.0,33.7,56.4
CSM,Nigeria,FCT,FCT LGA2,2019,41,26,0,0,179.3,35.3,74.6
Yellow Fever,Nigeria,Lagos,Lagos LGA2,2019,41,98,10,2,134.4,30.2,60.7
Yellow Fever,Nigeria,Ogun,Ogun LGA2,2019,41,98,10,2,150.5,35.8,50.0
Yellow Fever,Nigeria,Rivers,Rivers LGA2,2019,41,98,10,2,113.8,36.9,36.5
Cholera,Nigeria,Kaduna,Kaduna LGA1,2019,41,15,7,0,236.7,27.8,86.0
Cholera,Nigeria,Lagos,Lagos LGA1,2019,41,15,7,0,127.6,28.2,94.2
Cholera,Nigeria,Kaduna,Kaduna LGA2,2019,41,15,7,0,246.0,29.2,89.7
Measles,Nigeria,Ogun,Ogun LGA2,2019,41,272,0,0,139.9,31.3,20.7
Measles,Nigeria,Oyo,Oyo LGA2,2019,41,272,0,0,120.6,28.2,46.6
Measles,Nigeria,Kano,Kano LGA1,2019,41,272,0,0,16.6,28.3,53.1
Mpox,Nigeria,Oyo,Oyo LGA1,2019,41,13,3,0,115.3,31.7,50.8
Mpox,Nigeria,Rivers,Rivers LGA1,2019,41,13,3,0,78.2,26.7,80.0
Mpox,Nigeria,Kano,Kano LGA1,2019,41,13,3,0,165.4,29.5,25.6
AFP,Nigeria,Ogun,Ogun LGA1,2019,41,110,0,0,23.8,37.6,53.4
AFP,Nigeria,Ogun,Ogun LGA2,2019,41,110,0,0,55.8,32.6,87.5
AFP,Nigeria,Enugu,Enugu LGA2,2019,41,110,0,0,99.2,27.7,63.1
Lassa Fever,Nigeria,Rivers,Rivers LGA2,2019,42,113,13,2,57.6,32.9,72.2
Lassa Fever,Nigeria,Ogun,Ogun LGA2,2019,42,113,13,2,163.2,26.7,60.8
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,42,113,13,2,37.4,34.2,31.8
CSM,Nigeria,Kano,Kano LGA2,2019,42,43,0,0,15.1,33.5,72.3
CSM,Nigeria,Enugu,Enugu LGA2,2019,42,43,0,0,49.7,29.1,63.3
CSM,Nigeria,FCT,FCT LGA1,2019,42,43,0,0,151.6,29.8,71.0
Yellow Fever,Nigeria,Enugu,Enugu LGA1,2019,42,118,5,0,51.7,29.0,35.4
Yellow Fever,Nigeria,Kaduna,Kaduna LGA1,2019,42,118,5,0,158.1,28.8,74.2
Yellow Fever,Nigeria,Lagos,Lagos LGA1,2019,42,118,5,0,141.4,27.3,56.0
Cholera,Nigeria,Kaduna,Kaduna LGA1,2019,42,23,10,0,161.0,27.8,75.9
Cholera,Nigeria,Rivers,Rivers LGA1,2019,42,23,10,0,169.0,28.5,86.1
Cholera,Nigeria,Oyo,Oyo LGA2,2019,42,23,10,0,159.9,29.5,82.3
Measles,Nigeria,Kaduna,Kaduna LGA2,2019,42,378,0,0,29.5,35.4,33.1
Measles,Nigeria,Oyo,Oyo LGA2,2019,42,378,0,0,129.4,24.4,67.9
Measles,Nigeria,Lagos,Lagos LGA2,2019,42,378,0,0,87.4,37.6,56.3
Mpox,Nigeria,Lagos,Lagos LGA1,2019,42,3,1,0,16.8,32.1,63.2
Mpox,Nigeria,Oyo,Oyo LGA1,2019,42,3,1,0,79.1,35.7,23.1
Mpox,Nigeria,Lagos,Lagos LGA1,2019,42,3,1,0,160.6,36.7,80.7
AFP,Nigeria,FCT,FCT LGA2,2019,42,113,0,0,169.8,31.2,31.0
AFP,Nigeria,FCT,FCT LGA1,2019,42,113,0,0,32.9,28.1,68.4
AFP,Nigeria,Oyo,Oyo LGA2,2019,42,113,0,0,116.8,31.8,78.9
Lassa Fever,Nigeria,Oyo,Oyo LGA1,2019,43,92,4,1,63.6,28.8,86.0
Lassa Fever,Nigeria,Kaduna,Kaduna LGA2,2019,43,92,4,1,48.4,26.2,47.9
Lassa Fever,Nigeria,Lagos,Lagos LGA1,2019,43,92,4,1,140.8,26.1,56.4
CSM,Nigeria,Kano,Kano LGA1,2019,43,19,0,0,37.0,24.6,62.3
CSM,Nigeria,Kaduna,Kaduna LGA2,2019,43,19,0,0,6.1,34.0,25.7
CSM,Nigeria,Lagos,Lagos LGA2,2019,43,19,0,0,63.8,26.6,73.8
Yellow Fever,Nigeria,Kano,Kano LGA2,2019,43,106,0,0,34.1,24.9,79.3
Yellow Fever,Nigeria,Kano,Kano LGA2,2019,43,106,0,0,9.2,28.0,78.0
Yellow Fever,Nigeria,Enugu,Enugu LGA1,2019,43,106,0,0,93.8,26.8,55.3
Cholera,Nigeria,Oyo,Oyo LGA1,2019,43,25,7,0,139.4,29.2,94.4
Cholera,Nigeria,FCT,FCT LGA2,2019,43,25,7,0,197.1,27.3,75.1
Cholera,Nigeria,Enugu,Enugu LGA2,2019,43,25,7,0,237.0,29.1,81.2
Measles,Nigeria,Kaduna,Kaduna LGA1,2019,43,384,0,0,7.4,26.5,80.0
Measles,Nigeria,Kano,Kano LGA2,2019,43,384,0,0,153.5,27.9,75.7
Measles,Nigeria,Kano,Kano LGA1,2019,43,384,0,0,35.4,28.6,53.5
Mpox,Nigeria,FCT,FCT LGA2,2019,43,3,1,0,148.7,31.6,80.5
Mpox,Nigeria,Oyo,Oyo LGA2,2019,43,3,1,0,174.5,32.0,37.6
Mpox,Nigeria,Kano,Kano LGA2,2019,43,3,1,0,37.7,30.8,65.8
