year,month,epi_week,disease,suspected_cases,confirmed_cases,deaths,states_affected,lgas_affected,cfr_pct,report_url
2016,10,40,Lassa Fever,227,,,28,135,,https://ncdc.gov.ng/reports/weekly/2016/10/40
2016,10,40,Measles,20005,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/10/40
2016,10,40,Cholera,3,,,2,2,,https://ncdc.gov.ng/reports/weekly/2016/10/40
2016,10,40,CSM,2655,,,29,139,,https://ncdc.gov.ng/reports/weekly/2016/10/40
2016,10,41,Lassa Fever,3,,,3,3,,https://ncdc.gov.ng/reports/weekly/2016/10/41
2016,10,41,Measles,20250,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/10/41
2016,10,41,Cholera,13,,,2,2,,https://ncdc.gov.ng/reports/weekly/2016/10/41
2016,10,41,CSM,2656,,,29,140,,https://ncdc.gov.ng/reports/weekly/2016/10/41
2016,10,42,Lassa Fever,2,,,2,2,,https://ncdc.gov.ng/reports/weekly/2016/10/42
2016,10,42,Measles,20504,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/10/42
2016,10,42,Cholera,6,,,4,11,,https://ncdc.gov.ng/reports/weekly/2016/10/42
2016,10,42,CSM,2663,,,30,142,,https://ncdc.gov.ng/reports/weekly/2016/10/42
2016,10,43,Lassa Fever,1,,,,,,https://ncdc.gov.ng/reports/weekly/2016/10/43
2016,10,43,Measles,20983,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/10/43
2016,10,43,Cholera,0,,,3,5,,https://ncdc.gov.ng/reports/weekly/2016/10/43
2016,10,43,CSM,2667,,,31,144,,https://ncdc.gov.ng/reports/weekly/2016/10/43
2016,11,44,Lassa Fever,1,,,,,,https://ncdc.gov.ng/reports/weekly/2016/11/44
2016,11,44,Measles,21519,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/11/44
2016,11,44,Cholera,0,,,2,2,,https://ncdc.gov.ng/reports/weekly/2016/11/44
2016,11,44,CSM,2670,,,31,144,,https://ncdc.gov.ng/reports/weekly/2016/11/44
2016,11,45,Lassa Fever,5,,,4,4,,https://ncdc.gov.ng/reports/weekly/2016/11/45
2016,11,45,Measles,21852,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/11/45
2016,11,45,Cholera,2,,,,3,,https://ncdc.gov.ng/reports/weekly/2016/11/45
2016,11,45,CSM,2672,,,31,147,,https://ncdc.gov.ng/reports/weekly/2016/11/45
2016,11,46,Lassa Fever,4,,,3,3,,https://ncdc.gov.ng/reports/weekly/2016/11/46
2016,11,46,Measles,22222,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/11/46
2016,11,46,CSM,2676,,,31,148,,https://ncdc.gov.ng/reports/weekly/2016/11/46
2016,11,47,Lassa Fever,6,,,3,4,,https://ncdc.gov.ng/reports/weekly/2016/11/47
2016,11,47,Measles,22567,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/11/47
2016,11,47,Cholera,1,,,,,,https://ncdc.gov.ng/reports/weekly/2016/11/47
2016,11,47,CSM,14,,,8,10,,https://ncdc.gov.ng/reports/weekly/2016/11/47
2016,12,51,Lassa Fever,2,,,5,10,,https://ncdc.gov.ng/reports/weekly/2016/12/51
2016,12,51,Measles,23970,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/12/51
2016,12,51,Cholera,0,,,,,,https://ncdc.gov.ng/reports/weekly/2016/12/51
2016,12,51,CSM,2706,,,31,154,,https://ncdc.gov.ng/reports/weekly/2016/12/51
2016,12,52,Lassa Fever,2,,,4,7,,https://ncdc.gov.ng/reports/weekly/2016/12/52
2016,12,52,Measles,24203,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/12/52
2016,12,52,Cholera,0,,,,,,https://ncdc.gov.ng/reports/weekly/2016/12/52
2016,12,52,CSM,2709,,,31,154,,https://ncdc.gov.ng/reports/weekly/2016/12/52
2016,9,37,Lassa Fever,7,,,,,,https://ncdc.gov.ng/reports/weekly/2016/9/37
2016,9,37,Measles,19082,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/9/37
2016,9,37,Cholera,14,,,2,2,,https://ncdc.gov.ng/reports/weekly/2016/9/37
2016,9,37,CSM,2648,,,27,135,,https://ncdc.gov.ng/reports/weekly/2016/9/37
2016,9,39,Lassa Fever,227,,,28,135,,https://ncdc.gov.ng/reports/weekly/2016/9/39
2016,9,39,Measles,19834,,,36,,,https://ncdc.gov.ng/reports/weekly/2016/9/39
2016,9,39,Cholera,36,,,3,13,,https://ncdc.gov.ng/reports/weekly/2016/9/39
2016,9,39,CSM,2653,,,28,137,,https://ncdc.gov.ng/reports/weekly/2016/9/39
2017,1,1,Lassa Fever,3,,,,,,https://ncdc.gov.ng/reports/weekly/2017/1/1
