year,month,epi_week,disease,method,weekly_suspected,weekly_confirmed,weekly_deaths,states_affected,lgas_affected,ytd_year_prior,ytd_year_current,ytd_suspected_prior,ytd_suspected_current,ytd_confirmed_prior,ytd_confirmed_current,ytd_deaths_prior,ytd_deaths_current,ytd_cfr_prior,ytd_cfr_current,source_pdf
2016,9,37,,prose_era,,,,,,,,,,,,,,,,7_1475852376.pdf
2016,9,39,,prose_era,,,,,,,,,,,,,,,,8_1477395149.pdf
2016,10,40,,prose_era,,,,,,,,,,,,,,,,10_1477398165.pdf
2016,10,41,,prose_era,,,,,,,,,,,,,,,,11_1477400562.pdf
2016,10,42,,prose_era,,,,,,,,,,,,,,,,12_1480682867.pdf
2016,10,43,,prose_era,,,,,,,,,,,,,,,,13_1480685637.pdf
2016,11,44,,prose_era,,,,,,,,,,,,,,,,14_1480688390.pdf
2016,11,45,,prose_era,,,,,,,,,,,,,,,,15_1480692748.pdf
2016,11,46,,prose_era,,,,,,,,,,,,,,,,16_1480694898.pdf
2017,2,6,,prose_era,,,,,,,,,,,,,,,,25_1487841010.pdf
2017,2,7,,prose_era,,,,,,,,,,,,,,,,26_1488281963.pdf
2017,2,8,,prose_era,,,,,,,,,,,,,,,,27_1488966070.pdf
2017,3,9,,prose_era,,,,,,,,,,,,,,,,28_1489727627.pdf
2017,3,10,,prose_era,,,,,,,,,,,,,,,,29_1490702416.pdf
2017,3,11,,prose_era,,,,,,,,,,,,,,,,30_1490707140.pdf
2017,3,12,,prose_era,,,,,,,,,,,,,,,,32_1491834519.pdf
2017,4,16,,prose_era,,,,,,,,,,,,,,,,43_1493728702.pdf
2017,4,17,,prose_era,,,,,,,,,,,,,,,,45_1493731356.pdf
2017,5,18,,prose_era,,,,,,,,,,,,,,,,46_1494429885.pdf
2017,5,19,,prose_era,,,,,,,,,,,,,,,,47_1494949367.pdf
2017,5,20,,prose_era,,,,,,,,,,,,,,,,48_1496146688.pdf
2017,5,21,,prose_era,,,,,,,,,,,,,,,,49_1496148012.pdf
2017,6,22,,prose_era,,,,,,,,,,,,,,,,50_1496769361.pdf
2017,6,23,,prose_era,,,,,,,,,,,,,,,,51_1497361409.pdf
2017,6,24,,prose_era,,,,,,,,,,,,,,,,53_1497981149.pdf
2017,6,25,,prose_era,,,,,,,,,,,,,,,,61_1499787639.pdf
2017,6,26,,prose_era,,,,,,,,,,,,,,,,62_1500389503.pdf
2017,7,27,,prose_era,,,,,,,,,,,,,,,,63_1501009549.pdf
2017,7,28,,prose_era,,,,,,,,,,,,,,,,64_1501598242.pdf
2017,7,29,,prose_era,,,,,,,,,,,,,,,,67_1502217350.pdf
2017,7,30,,prose_era,,,,,,,,,,,,,,,,73_1502824288.pdf
2017,8,31,,prose_era,,,,,,,,,,,,,,,,74_1503433735.pdf
2017,8,32,,prose_era,,,,,,,,,,,,,,,,76_1504029751.pdf
2017,8,33,,prose_era,,,,,,,,,,,,,,,,79_1504640312.pdf
2017,8,34,,prose_era,,,,,,,,,,,,,,,,81_1505246149.pdf
2017,8,35,,prose_era,,,,,,,,,,,,,,,,82_1505850937.pdf
2017,9,36,,prose_era,,,,,,,,,,,,,,,,84_1506452355.pdf
2017,9,37,,prose_era,,,,,,,,,,,,,,,,85_1507059921.pdf
2017,9,38,,prose_era,,,,,,,,,,,,,,,,86_1507668610.pdf
2017,9,39,,prose_era,,,,,,,,,,,,,,,,87_1508277054.pdf
2017,10,40,,prose_era,,,,,,,,,,,,,,,,88_1508871928.pdf
2017,10,41,,prose_era,,,,,,,,,,,,,,,,89_1509480467.pdf
2017,10,42,,prose_era,,,,,,,,,,,,,,,,91_1510114205.pdf
2017,10,43,,prose_era,,,,,,,,,,,,,,,,92_1510684782.pdf
2017,10,44,,prose_era,,,,,,,,,,,,,,,,93_1511294973.pdf
2017,11,45,,prose_era,,,,,,,,,,,,,,,,94_1511896816.pdf
2017,11,46,,prose_era,,,,,,,,,,,,,,,,95_1512504215.pdf
2017,11,47,,prose_era,,,,,,,,,,,,,,,,96_1513113168.pdf
2017,11,48,,prose_era,,,,,,,,,,,,,,,,97_1513695356.pdf
2017,12,49,,prose_era,,,,,,,,,,,,,,,,98_1514362275.pdf
2017,12,50,,prose_era,,,,,,,,,,,,,,,,99_1514942181.pdf
2017,12,51,,prose_era,,,,,,,,,,,,,,,,100_1515558725.pdf
2017,12,52,,prose_era,,,,,,,,,,,,,,,,101_1516131252.pdf
